lg_nw,r_nw,t_ox,N_sd,eps_ox
10,3,1.5,2.0e+20,22
vgs,vds,ids
0.45,0.0,3.171111194492547e-06
0.45,0.05,6.624052035481307e-06
0.45,0.1,1.0537564687516935e-05
0.45,0.15,1.2968719914754069e-05
0.45,0.2,1.4065119238030257e-05
0.45,0.25,1.4489624755957378e-05
0.45,0.3,1.46392978875699e-05
0.45,0.35,1.4687808874565162e-05
0.45,0.4,1.4703490851381757e-05
0.45,0.45,1.471205319452685e-05
0.45,0.5,1.4722848741506093e-05
0.45,0.55,1.4739087117249398e-05
0.45,0.6,1.4761702140257343e-05
0.45,0.65,1.4790800920100644e-05
0.45,0.7,1.4826203463957549e-05
0.5,0.0,3.4481353254235116e-06
0.5,0.05,7.580095374058791e-06
0.5,0.1,1.2611477769687221e-05
0.5,0.15,1.5881092571507032e-05
0.5,0.2,1.7401478041896248e-05
0.5,0.25,1.8013692944979814e-05
0.5,0.3,1.8248649468476702e-05
0.5,0.35,1.8342564632970612e-05
0.5,0.4,1.8389131050299972e-05
0.5,0.45,1.8423821269260304e-05
0.5,0.5,1.8459657617696166e-05
0.5,0.55,1.8501198389601447e-05
0.5,0.6,1.854985106909474e-05
0.5,0.65,1.8605868367044485e-05
0.5,0.7,1.8669093667211344e-05
0.55,0.0,3.6353094042562e-06
0.55,0.05,8.342411021163886e-06
0.55,0.1,1.451879430409753e-05
0.55,0.15,1.8730600883260855e-05
0.55,0.2,2.074900950544891e-05
0.55,0.25,2.1588480159748683e-05
0.55,0.3,2.1930314669971745e-05
0.55,0.35,2.2083479978687948e-05
0.55,0.4,2.2171548974141053e-05
0.55,0.45,2.2241577489672296e-05
0.55,0.5,2.2310971486474235e-05
0.55,0.55,2.238592037285319e-05
0.55,0.6,2.246842163888204e-05
0.55,0.65,2.2558925941676834e-05
0.55,0.7,2.265732734612236e-05
0.6,0.0,3.7343192348301385e-06
0.6,0.05,8.874889115117617e-06
0.6,0.1,1.6168242735948497e-05
0.6,0.15,2.1406488562055956e-05
0.6,0.2,2.3993461666280212e-05
0.6,0.25,2.5098522581564027e-05
0.6,0.3,2.5567438367254813e-05
0.6,0.35,2.5792059131969262e-05
0.6,0.4,2.5930484950595744e-05
0.6,0.45,2.604324419722389e-05
0.6,0.5,2.6152868735762753e-05
0.6,0.55,2.626747172840806e-05
0.6,0.6,2.6389760305588874e-05
0.6,0.65,2.65204362304081e-05
0.6,0.7,2.665947156123365e-05
0.65,0.0,3.7537959940728428e-06
0.65,0.05,9.164106109834829e-06
0.65,0.1,1.7491041407379057e-05
0.65,0.15,2.3815623715506724e-05
0.65,0.2,2.703625169476691e-05
0.65,0.25,2.8443293803779383e-05
0.65,0.3,2.9057705192228752e-05
0.65,0.35,2.9364045493702232e-05
0.65,0.4,2.955965126514791e-05
0.65,0.45,2.9720462242260693e-05
0.65,0.5,2.9874899983694217e-05
0.65,0.55,3.0033301970659417e-05
0.65,0.6,3.019920718413779e-05
0.65,0.65,3.0373622317377164e-05
0.65,0.7,3.0556624797892694e-05
0.7,0.0,3.7076158141647486e-06
0.7,0.05,9.219514364804297e-06
0.7,0.1,1.8446957430822547e-05
0.7,0.15,2.589089029493942e-05
0.7,0.2,2.9804011536610986e-05
0.7,0.25,3.1547467274647417e-05
0.7,0.3,3.232410646957933e-05
0.7,0.35,3.272060278922201e-05
0.7,0.4,3.297829330907426e-05
0.7,0.45,3.319052076001813e-05
0.7,0.5,3.339238384621233e-05
0.7,0.55,3.359675375633567e-05
0.7,0.6,3.380812641087087e-05
0.7,0.65,3.402786797865139e-05
0.7,0.7,3.425618865339155e-05
