lg_nw,r_nw,t_ox,N_sd,eps_ox
12,3,1.5,1.0e+20,7.5
vgs,vds,ids
0.15,0.5,5.795074644673343e-07
0.15,0.55,5.890756607115729e-07
0.15,0.6,5.99317950439605e-07
0.15,0.65,6.102803684491226e-07
0.15,0.7,6.220097251181248e-07
0.2,0.0,6.126980099243825e-07
0.2,0.05,9.248903307902885e-07
0.2,0.1,1.197252830862864e-06
0.2,0.15,1.3499365020659079e-06
0.2,0.2,1.4183542936242573e-06
0.2,0.25,1.4475283018751123e-06
0.2,0.3,1.461387649753654e-06
0.2,0.35,1.4700168818329528e-06
0.2,0.4,1.4773329151493953e-06
0.2,0.45,1.4848120947416083e-06
0.2,0.5,1.4930078380748442e-06
0.2,0.55,1.5021338402050272e-06
0.2,0.6,1.5122835268704742e-06
0.2,0.65,1.523511910012392e-06
0.2,0.7,1.5358659597116534e-06
0.25,0.0,1.0232260239622026e-06
0.25,0.05,1.6568760441038186e-06
0.25,0.1,2.2629055467150584e-06
0.25,0.15,2.6126564606149082e-06
0.25,0.2,2.764473831810646e-06
0.25,0.25,2.82114974158533e-06
0.25,0.3,2.839909456821558e-06
0.25,0.35,2.8451706434596477e-06
0.25,0.4,2.8464279317053398e-06
0.25,0.45,2.847233983874186e-06
0.25,0.5,2.848887929205825e-06
0.25,0.55,2.8518548772168433e-06
0.25,0.6,2.8562995408041838e-06
0.25,0.65,2.862284868988383e-06
0.25,0.7,2.8698455030940965e-06
0.3,0.0,1.400886664287283e-06
0.3,0.05,2.417436627790461e-06
0.3,0.1,3.4758960170793474e-06
0.3,0.15,4.111208377681335e-06
0.3,0.2,4.389555009334902e-06
0.3,0.25,4.491383173806822e-06
0.3,0.3,4.521699216068769e-06
0.3,0.35,4.525919299771179e-06
0.3,0.4,4.521795155896223e-06
0.3,0.45,4.515982429053954e-06
0.3,0.5,4.510911440076282e-06
0.3,0.55,4.507441008219168e-06
0.3,0.6,4.505857714914471e-06
0.3,0.65,4.506248282664014e-06
0.3,0.7,4.5086374574368515e-06
0.35,0.0,1.7155437952708475e-06
0.35,0.05,3.1355688553349726e-06
0.35,0.1,4.730050668179441e-06
0.35,0.15,5.7258049881431504e-06
0.35,0.2,6.1719664863983114e-06
0.35,0.25,6.33925611656651e-06
0.35,0.3,6.391902032515458e-06
