lg_nw,r_nw,t_ox,N_sd,eps_ox
20,5,1.5,2.0e+20,22
vg,vd
0.500000,-0.400000
0.496000,-0.392000
0.492000,-0.384000
0.488000,-0.376000
0.484000,-0.368000
0.480000,-0.360000
0.476000,-0.352000
0.472000,-0.344000
0.468000,-0.336000
0.464000,-0.328000
0.460000,-0.320000
0.456000,-0.312000
0.452000,-0.304000
0.448000,-0.296000
0.444000,-0.288000
0.440000,-0.280000
0.436000,-0.272000
0.432000,-0.264000
0.428000,-0.256000
0.424000,-0.248000
0.420000,-0.240000
0.416000,-0.232000
0.412000,-0.224000
0.408000,-0.216000
0.404000,-0.208000
0.400000,-0.200000
0.396000,-0.192000
0.392000,-0.184000
0.388000,-0.176000
0.384000,-0.168000
0.380000,-0.160000
0.376000,-0.152000
0.372000,-0.144000
0.368000,-0.136000
0.364000,-0.128000
0.360000,-0.120000
0.356000,-0.112000
0.352000,-0.104000
0.348000,-0.096000
0.344000,-0.088000
0.340000,-0.080000
0.336000,-0.072000
0.332000,-0.064000
0.328000,-0.056000
0.324000,-0.048000
0.320000,-0.040000
0.316000,-0.032000
0.312000,-0.024000
0.308000,-0.016000
0.304000,-0.008000
0.300000,0.000000
0.304000,0.008000
0.308000,0.016000
0.312000,0.024000
0.316000,0.032000
0.320000,0.040000
0.324000,0.048000
0.328000,0.056000
0.332000,0.064000
0.336000,0.072000
0.340000,0.080000
0.344000,0.088000
0.348000,0.096000
0.352000,0.104000
0.356000,0.112000
0.360000,0.120000
0.364000,0.128000
0.368000,0.136000
0.372000,0.144000
0.376000,0.152000
0.380000,0.160000
0.384000,0.168000
0.388000,0.176000
0.392000,0.184000
0.396000,0.192000
0.400000,0.200000
0.404000,0.208000
0.408000,0.216000
0.412000,0.224000
0.416000,0.232000
0.420000,0.240000
0.424000,0.248000
0.428000,0.256000
0.432000,0.264000
0.436000,0.272000
0.440000,0.280000
0.444000,0.288000
0.448000,0.296000
0.452000,0.304000
0.456000,0.312000
0.460000,0.320000
0.464000,0.328000
0.468000,0.336000
0.472000,0.344000
0.476000,0.352000
0.480000,0.360000
0.484000,0.368000
0.488000,0.376000
0.492000,0.384000
0.496000,0.392000
0.500000,0.400000
