vg      	vd      	ids     
0       	0       	6.6822e-21
0       	0.05    	1.0082e-17
0       	0.1     	1.1546e-17
0       	0.15    	1.1761e-17
0       	0.2     	1.1795e-17
0       	0.25    	1.1802e-17
0       	0.3     	1.1806e-17
0       	0.35    	1.1809e-17
0       	0.4     	1.1811e-17
0       	0.45    	1.1814e-17
0       	0.5     	1.1816e-17
0       	0.55    	1.1818e-17
0       	0.6     	1.182e-17
0       	0.65    	1.1822e-17
0       	0.7     	1.1824e-17
0.05    	0       	7.3315e-20
0.05    	0.05    	7.0133e-17
0.05    	0.1     	8.0217e-17
0.05    	0.15    	8.1702e-17
0.05    	0.2     	8.1938e-17
0.05    	0.25    	8.1991e-17
0.05    	0.3     	8.2017e-17
0.05    	0.35    	8.2038e-17
0.05    	0.4     	8.2057e-17
0.05    	0.45    	8.2075e-17
0.05    	0.5     	8.2092e-17
0.05    	0.55    	8.2108e-17
0.05    	0.6     	8.2123e-17
0.05    	0.65    	8.2137e-17
0.05    	0.7     	8.2151e-17
0.1     	0       	5.85e-19
0.1     	0.05    	4.8365e-16
0.1     	0.1     	5.5388e-16
0.1     	0.15    	5.6412e-16
0.1     	0.2     	5.6576e-16
0.1     	0.25    	5.6614e-16
0.1     	0.3     	5.6633e-16
0.1     	0.35    	5.6648e-16
0.1     	0.4     	5.6662e-16
0.1     	0.45    	5.6675e-16
0.1     	0.5     	5.6687e-16
0.1     	0.55    	5.6699e-16
0.1     	0.6     	5.671e-16
0.1     	0.65    	5.672e-16
0.1     	0.7     	5.673e-16
0.15    	0       	4.5394e-18
0.15    	0.05    	3.3346e-15
0.15    	0.1     	3.819e-15
0.15    	0.15    	3.8904e-15
0.15    	0.2     	3.9018e-15
0.15    	0.25    	3.9045e-15
0.15    	0.3     	3.9058e-15
0.15    	0.35    	3.907e-15
0.15    	0.4     	3.908e-15
0.15    	0.45    	3.9089e-15
0.15    	0.5     	3.9098e-15
0.15    	0.55    	3.9107e-15
0.15    	0.6     	3.9115e-15
0.15    	0.65    	3.9123e-15
0.15    	0.7     	3.913e-15
0.2     	0       	3.4992e-17
0.2     	0.05    	2.2934e-14
0.2     	0.1     	2.6275e-14
0.2     	0.15    	2.6768e-14
0.2     	0.2     	2.6848e-14
0.2     	0.25    	2.6867e-14
0.2     	0.3     	2.6877e-14
0.2     	0.35    	2.6885e-14
0.2     	0.4     	2.6893e-14
0.2     	0.45    	2.69e-14
0.2     	0.5     	2.6906e-14
0.2     	0.55    	2.6913e-14
0.2     	0.6     	2.6919e-14
0.2     	0.65    	2.6924e-14
0.2     	0.7     	2.6929e-14
0.25    	0       	2.486e-16
0.25    	0.05    	1.5999e-13
0.25    	0.1     	1.8298e-13
0.25    	0.15    	1.8639e-13
0.25    	0.2     	1.8695e-13
0.25    	0.25    	1.8709e-13
0.25    	0.3     	1.8716e-13
0.25    	0.35    	1.8722e-13
0.25    	0.4     	1.8728e-13
0.25    	0.45    	1.8733e-13
0.25    	0.5     	1.8738e-13
0.25    	0.55    	1.8742e-13
0.25    	0.6     	1.8746e-13
0.25    	0.65    	1.8751e-13
0.25    	0.7     	1.8754e-13
0.3     	0       	1.8911e-15
0.3     	0.05    	1.1012e-12
0.3     	0.1     	1.2616e-12
0.3     	0.15    	1.2851e-12
0.3     	0.2     	1.289e-12
0.3     	0.25    	1.29e-12
0.3     	0.3     	1.2905e-12
0.3     	0.35    	1.291e-12
0.3     	0.4     	1.2914e-12
0.3     	0.45    	1.2918e-12
0.3     	0.5     	1.2921e-12
0.3     	0.55    	1.2925e-12
0.3     	0.6     	1.2928e-12
0.3     	0.65    	1.2931e-12
0.3     	0.7     	1.2934e-12
0.35    	0       	1.3174e-14
0.35    	0.05    	7.6454e-12
0.35    	0.1     	8.7503e-12
0.35    	0.15    	8.9148e-12
0.35    	0.2     	8.9421e-12
0.35    	0.25    	8.9493e-12
0.35    	0.3     	8.9534e-12
0.35    	0.35    	8.9567e-12
0.35    	0.4     	8.9598e-12
0.35    	0.45    	8.9626e-12
0.35    	0.5     	8.9652e-12
0.35    	0.55    	8.9677e-12
0.35    	0.6     	8.97e-12
0.35    	0.65    	8.9722e-12
0.35    	0.7     	8.9742e-12
0.4     	0       	1.006e-13
0.4     	0.05    	5.2704e-11
0.4     	0.1     	6.0373e-11
0.4     	0.15    	6.151e-11
0.4     	0.2     	6.1704e-11
0.4     	0.25    	6.1757e-11
0.4     	0.3     	6.1787e-11
0.4     	0.35    	6.1812e-11
0.4     	0.4     	6.1835e-11
0.4     	0.45    	6.1856e-11
0.4     	0.5     	6.1875e-11
0.4     	0.55    	6.1894e-11
0.4     	0.6     	6.1911e-11
0.4     	0.65    	6.1927e-11
0.4     	0.7     	6.1942e-11
0.45    	0       	8.1664e-13
0.45    	0.05    	3.6181e-10
0.45    	0.1     	4.1472e-10
0.45    	0.15    	4.2265e-10
0.45    	0.2     	4.2401e-10
0.45    	0.25    	4.244e-10
0.45    	0.3     	4.2463e-10
0.45    	0.35    	4.2482e-10
0.45    	0.4     	4.2499e-10
0.45    	0.45    	4.2515e-10
0.45    	0.5     	4.2529e-10
0.45    	0.55    	4.2543e-10
0.45    	0.6     	4.2555e-10
0.45    	0.65    	4.2567e-10
0.45    	0.7     	4.2578e-10
0.5     	0       	4.6474e-12
0.5     	0.05    	2.4995e-09
0.5     	0.1     	2.8631e-09
0.5     	0.15    	2.9182e-09
0.5     	0.2     	2.928e-09
0.5     	0.25    	2.9309e-09
0.5     	0.3     	2.9327e-09
0.5     	0.35    	2.9341e-09
0.5     	0.4     	2.9354e-09
0.5     	0.45    	2.9366e-09
0.5     	0.5     	2.9377e-09
0.5     	0.55    	2.9386e-09
0.5     	0.6     	2.9396e-09
0.5     	0.65    	2.9404e-09
0.5     	0.7     	2.9412e-09
0.55    	0       	2.7963e-11
0.55    	0.05    	1.6484e-08
0.55    	0.1     	1.9002e-08
0.55    	0.15    	1.9387e-08
0.55    	0.2     	1.9457e-08
0.55    	0.25    	1.9479e-08
0.55    	0.3     	1.9492e-08
0.55    	0.35    	1.9502e-08
0.55    	0.4     	1.9512e-08
0.55    	0.45    	1.952e-08
0.55    	0.5     	1.9528e-08
0.55    	0.55    	1.9535e-08
0.55    	0.6     	1.9541e-08
0.55    	0.65    	1.9547e-08
0.55    	0.7     	1.9553e-08
0.6     	0       	1.3066e-10
0.6     	0.05    	9.2392e-08
0.6     	0.1     	1.0932e-07
0.6     	0.15    	1.1203e-07
0.6     	0.2     	1.1252e-07
0.6     	0.25    	1.1267e-07
0.6     	0.3     	1.1275e-07
0.6     	0.35    	1.1281e-07
0.6     	0.4     	1.1287e-07
0.6     	0.45    	1.1291e-07
0.6     	0.5     	1.1296e-07
0.6     	0.55    	1.13e-07
0.6     	0.6     	1.1303e-07
0.6     	0.65    	1.1307e-07
0.6     	0.7     	1.131e-07
0.65    	0       	3.4417e-10
0.65    	0.05    	3.0819e-07
0.65    	0.1     	4.0529e-07
0.65    	0.15    	4.2546e-07
0.65    	0.2     	4.2881e-07
0.65    	0.25    	4.2968e-07
0.65    	0.3     	4.3002e-07
0.65    	0.35    	4.3026e-07
0.65    	0.4     	4.3045e-07
0.65    	0.45    	4.3062e-07
0.65    	0.5     	4.3077e-07
0.65    	0.55    	4.309e-07
0.65    	0.6     	4.3102e-07
0.65    	0.65    	4.3113e-07
0.65    	0.7     	4.3122e-07
0.7     	0       	4.6099e-10
0.7     	0.05    	5.3381e-07
0.7     	0.1     	8.5301e-07
0.7     	0.15    	9.7198e-07
0.7     	0.2     	9.9885e-07
0.7     	0.25    	1.0041e-06
0.7     	0.3     	1.0056e-06
0.7     	0.35    	1.0063e-06
0.7     	0.4     	1.0067e-06
0.7     	0.45    	1.0071e-06
0.7     	0.5     	1.0074e-06
0.7     	0.55    	1.0076e-06
0.7     	0.6     	1.0079e-06
0.7     	0.65    	1.0081e-06
0.7     	0.7     	1.0082e-06
