lg_nw,w_nw,h_nw,t_ox,N_sd,eps_ox,index
16,4,4,1,5.0e+19,22,747
10,4,3,1,2.0e+20,3.9,748
20,3,2,1.5,1.0e+20,3.9,749
20,4,2,0.5,1.0e+20,22,750
18,4,3,0.5,1.0e+20,22,751
18,4,3,1,5.0e+19,3.9,752
12,3,2,1.5,5.0e+19,7.5,753
16,4,4,0.5,2.0e+20,7.5,754
14,3,3,0.5,5.0e+19,3.9,755
14,4,4,1,2.0e+20,7.5,756
14,4,3,1,2.0e+20,22,757
16,2,2,1.5,2.0e+20,3.9,758
12,3,2,1,2.0e+20,3.9,759
12,4,3,0.5,5.0e+19,7.5,760
16,2,2,1,2.0e+20,22,761
14,4,2,1.5,5.0e+19,3.9,762
18,4,3,0.5,5.0e+19,7.5,763
16,3,3,1.5,5.0e+19,3.9,764
10,3,2,1,1.0e+20,22,765
14,4,4,1.5,1.0e+20,3.9,766
14,4,4,1.5,2.0e+20,7.5,767
10,3,2,0.5,5.0e+19,7.5,768
20,3,2,0.5,2.0e+20,3.9,769
18,3,2,0.5,1.0e+20,3.9,770
16,4,2,1,1.0e+20,3.9,771
12,4,2,0.5,1.0e+20,22,772
14,4,2,0.5,1.0e+20,3.9,773
10,2,2,0.5,1.0e+20,3.9,774
16,3,3,0.5,1.0e+20,3.9,775
18,3,2,1.5,5.0e+19,7.5,776
12,4,4,1,2.0e+20,22,777
16,4,2,0.5,5.0e+19,3.9,778
14,3,3,1,5.0e+19,3.9,779
12,3,3,1,1.0e+20,3.9,780
14,2,2,0.5,2.0e+20,3.9,781
20,4,3,1.5,2.0e+20,3.9,782
10,4,3,1.5,5.0e+19,7.5,783
14,3,3,1,5.0e+19,22,784
16,3,2,0.5,1.0e+20,22,785
20,4,3,1,2.0e+20,7.5,786
16,4,2,1,2.0e+20,7.5,787
20,4,2,1,1.0e+20,7.5,788
12,4,2,1,5.0e+19,22,789
18,4,3,1,2.0e+20,7.5,790
18,4,2,1.5,1.0e+20,7.5,791
10,4,3,1,5.0e+19,7.5,792
18,4,4,0.5,1.0e+20,7.5,793
14,3,2,1.5,1.0e+20,7.5,794
12,3,2,1,2.0e+20,22,795
16,4,3,1.5,1.0e+20,7.5,796
16,2,2,1,5.0e+19,3.9,797
10,4,4,1,2.0e+20,22,798
18,4,2,1,2.0e+20,22,799
16,3,3,1,2.0e+20,3.9,800
10,4,3,1.5,1.0e+20,22,801
16,3,3,1,5.0e+19,22,802
20,3,2,1,2.0e+20,3.9,803
20,4,4,1.5,1.0e+20,22,804
20,3,3,1.5,1.0e+20,22,805
10,3,2,1,5.0e+19,3.9,806
14,4,3,1,1.0e+20,22,807
16,4,3,1,2.0e+20,22,808
12,4,3,1,1.0e+20,3.9,809
14,2,2,1,2.0e+20,22,810
18,3,2,1,2.0e+20,3.9,811
18,3,3,1.5,1.0e+20,3.9,812
18,3,2,1,5.0e+19,22,813
18,3,2,1.5,1.0e+20,22,814
12,2,2,1,1.0e+20,3.9,815
16,3,2,1.5,1.0e+20,3.9,816
16,3,2,1,1.0e+20,3.9,817
14,4,3,1.5,1.0e+20,3.9,818
12,4,4,1,1.0e+20,3.9,819
16,4,4,1,5.0e+19,7.5,820
10,3,2,1,2.0e+20,22,821
20,4,2,0.5,5.0e+19,3.9,822
10,4,2,0.5,2.0e+20,7.5,823
18,4,2,1,1.0e+20,22,824
18,3,3,0.5,2.0e+20,7.5,825
14,2,2,1,2.0e+20,3.9,826
16,4,3,1.5,2.0e+20,3.9,827
12,2,2,0.5,5.0e+19,7.5,828
10,3,3,1.5,2.0e+20,7.5,829
20,3,3,1.5,5.0e+19,3.9,830
20,3,2,1,1.0e+20,7.5,831
18,4,2,1.5,2.0e+20,7.5,832
14,4,4,1.5,1.0e+20,22,833
16,3,2,0.5,2.0e+20,3.9,834
12,4,4,1.5,5.0e+19,3.9,835
12,4,3,1,2.0e+20,7.5,836
20,2,2,0.5,1.0e+20,3.9,837
20,2,2,1.5,2.0e+20,3.9,838
14,4,3,0.5,2.0e+20,3.9,839
10,2,2,1.5,5.0e+19,7.5,840
14,3,3,1.5,1.0e+20,22,841
16,4,4,1.5,1.0e+20,7.5,842
18,4,4,1,5.0e+19,22,843
12,4,2,1.5,2.0e+20,7.5,844
10,4,2,1,5.0e+19,22,845
18,4,3,0.5,1.0e+20,7.5,846
18,4,4,1.5,5.0e+19,3.9,847
10,4,4,0.5,5.0e+19,3.9,848
16,4,2,0.5,1.0e+20,7.5,849
20,4,4,0.5,2.0e+20,7.5,850
12,2,2,0.5,1.0e+20,7.5,851
14,3,2,1.5,2.0e+20,3.9,852
14,3,3,0.5,1.0e+20,7.5,853
10,2,2,0.5,1.0e+20,22,854
14,4,2,1,5.0e+19,7.5,855
12,3,3,0.5,2.0e+20,7.5,856
18,2,2,0.5,5.0e+19,7.5,857
12,2,2,1,2.0e+20,7.5,858
12,4,2,0.5,5.0e+19,3.9,859
18,4,4,0.5,2.0e+20,7.5,860
20,4,4,1,1.0e+20,7.5,861
20,2,2,0.5,5.0e+19,7.5,862
14,4,3,1.5,5.0e+19,7.5,863
10,2,2,0.5,2.0e+20,3.9,864
18,3,2,1,1.0e+20,22,865
20,2,2,1,1.0e+20,7.5,866
18,4,3,1,5.0e+19,22,867
12,2,2,1,1.0e+20,22,868
14,4,3,1,2.0e+20,3.9,869
18,2,2,1.5,2.0e+20,3.9,870
20,4,3,1,1.0e+20,7.5,871
12,3,3,1.5,5.0e+19,3.9,872
14,4,3,1.5,1.0e+20,22,873
16,3,2,1,2.0e+20,22,874
10,4,4,1.5,2.0e+20,7.5,875
20,4,4,1.5,5.0e+19,3.9,876
14,3,2,0.5,5.0e+19,7.5,877
16,4,3,0.5,5.0e+19,7.5,878
12,2,2,1.5,2.0e+20,3.9,879
18,3,3,1.5,5.0e+19,3.9,880
14,3,2,0.5,1.0e+20,7.5,881
20,4,2,1.5,2.0e+20,7.5,882
10,4,2,1.5,5.0e+19,3.9,883
18,4,4,1.5,1.0e+20,7.5,884
16,4,3,0.5,1.0e+20,7.5,885
20,2,2,0.5,1.0e+20,22,886
18,4,2,0.5,1.0e+20,7.5,887
16,3,2,1.5,5.0e+19,7.5,888
18,4,2,0.5,5.0e+19,3.9,889
12,4,4,0.5,2.0e+20,7.5,890
16,4,2,1,5.0e+19,22,891
12,4,2,1,5.0e+19,3.9,892
10,3,3,0.5,5.0e+19,3.9,893
20,3,3,0.5,2.0e+20,7.5,894
18,3,3,1,2.0e+20,22,895
18,3,3,1,5.0e+19,7.5,896
10,4,4,1.5,1.0e+20,22,897
10,3,3,1,2.0e+20,7.5,898
18,4,2,1.5,1.0e+20,22,899
10,3,3,1,5.0e+19,22,900
