vg      	vd      	ids     
0       	0       	2.4221e-13
0       	0.05    	8.4885e-12
0       	0.1     	9.7455e-12
0       	0.15    	9.9527e-12
0       	0.2     	1.0006e-11
0       	0.25    	1.0035e-11
0       	0.3     	1.0059e-11
0       	0.35    	1.0081e-11
0       	0.4     	1.0102e-11
0       	0.45    	1.0122e-11
0       	0.5     	1.0141e-11
0       	0.55    	1.0159e-11
0       	0.6     	1.0177e-11
0       	0.65    	1.0194e-11
0       	0.7     	1.021e-11
0.05    	0       	1.6679e-12
0.05    	0.05    	5.6723e-11
0.05    	0.1     	6.5214e-11
0.05    	0.15    	6.6651e-11
0.05    	0.2     	6.7024e-11
0.05    	0.25    	6.7228e-11
0.05    	0.3     	6.7396e-11
0.05    	0.35    	6.7549e-11
0.05    	0.4     	6.7691e-11
0.05    	0.45    	6.7826e-11
0.05    	0.5     	6.7954e-11
0.05    	0.55    	6.8076e-11
0.05    	0.6     	6.8193e-11
0.05    	0.65    	6.8305e-11
0.05    	0.7     	6.8413e-11
0.1     	0       	1.0846e-11
0.1     	0.05    	3.6273e-10
0.1     	0.1     	4.1938e-10
0.1     	0.15    	4.2909e-10
0.1     	0.2     	4.3165e-10
0.1     	0.25    	4.3305e-10
0.1     	0.3     	4.3418e-10
0.1     	0.35    	4.3519e-10
0.1     	0.4     	4.3613e-10
0.1     	0.45    	4.37e-10
0.1     	0.5     	4.3783e-10
0.1     	0.55    	4.3861e-10
0.1     	0.6     	4.3936e-10
0.1     	0.65    	4.4008e-10
0.1     	0.7     	4.4076e-10
0.15    	0       	7.4222e-11
0.15    	0.05    	2.2732e-09
0.15    	0.1     	2.6351e-09
0.15    	0.15    	2.6999e-09
0.15    	0.2     	2.717e-09
0.15    	0.25    	2.7262e-09
0.15    	0.3     	2.7336e-09
0.15    	0.35    	2.7402e-09
0.15    	0.4     	2.7462e-09
0.15    	0.45    	2.7518e-09
0.15    	0.5     	2.7569e-09
0.15    	0.55    	2.7618e-09
0.15    	0.6     	2.7665e-09
0.15    	0.65    	2.7709e-09
0.15    	0.7     	2.7751e-09
0.2     	0       	4.4455e-10
0.2     	0.05    	1.3792e-08
0.2     	0.1     	1.6053e-08
0.2     	0.15    	1.6466e-08
0.2     	0.2     	1.6577e-08
0.2     	0.25    	1.6636e-08
0.2     	0.3     	1.6682e-08
0.2     	0.35    	1.6722e-08
0.2     	0.4     	1.6759e-08
0.2     	0.45    	1.6792e-08
0.2     	0.5     	1.6823e-08
0.2     	0.55    	1.6852e-08
0.2     	0.6     	1.6879e-08
0.2     	0.65    	1.6905e-08
0.2     	0.7     	1.6929e-08
0.25    	0       	2.2435e-09
0.25    	0.05    	7.6853e-08
0.25    	0.1     	9.0512e-08
0.25    	0.15    	9.3074e-08
0.25    	0.2     	9.3743e-08
0.25    	0.25    	9.4072e-08
0.25    	0.3     	9.4321e-08
0.25    	0.35    	9.4536e-08
0.25    	0.4     	9.4727e-08
0.25    	0.45    	9.49e-08
0.25    	0.5     	9.5057e-08
0.25    	0.55    	9.5202e-08
0.25    	0.6     	9.5336e-08
0.25    	0.65    	9.5463e-08
0.25    	0.7     	9.5582e-08
0.3     	0       	7.4348e-09
0.3     	0.05    	3.1721e-07
0.3     	0.1     	3.9032e-07
0.3     	0.15    	4.0479e-07
0.3     	0.2     	4.0827e-07
0.3     	0.25    	4.0969e-07
0.3     	0.3     	4.1066e-07
0.3     	0.35    	4.1146e-07
0.3     	0.4     	4.1216e-07
0.3     	0.45    	4.1278e-07
0.3     	0.5     	4.1333e-07
0.3     	0.55    	4.1384e-07
0.3     	0.6     	4.143e-07
0.3     	0.65    	4.1473e-07
0.3     	0.7     	4.1513e-07
0.35    	0       	1.4615e-08
0.35    	0.05    	8.0246e-07
0.35    	0.1     	1.0744e-06
0.35    	0.15    	1.1389e-06
0.35    	0.2     	1.154e-06
0.35    	0.25    	1.1589e-06
0.35    	0.3     	1.1616e-06
0.35    	0.35    	1.1636e-06
0.35    	0.4     	1.1653e-06
0.35    	0.45    	1.1668e-06
0.35    	0.5     	1.1681e-06
0.35    	0.55    	1.1693e-06
0.35    	0.6     	1.1704e-06
0.35    	0.65    	1.1714e-06
0.35    	0.7     	1.1723e-06
0.4     	0       	2.066e-08
0.4     	0.05    	1.3654e-06
0.4     	0.1     	2.0407e-06
0.4     	0.15    	2.241e-06
0.4     	0.2     	2.2927e-06
0.4     	0.25    	2.3077e-06
0.4     	0.3     	2.3149e-06
0.4     	0.35    	2.319e-06
0.4     	0.4     	2.3221e-06
0.4     	0.45    	2.3247e-06
0.4     	0.5     	2.327e-06
0.4     	0.55    	2.329e-06
0.4     	0.6     	2.3308e-06
0.4     	0.65    	2.3324e-06
0.4     	0.7     	2.3339e-06
0.45    	0       	2.5763e-08
0.45    	0.05    	1.9072e-06
0.45    	0.1     	3.0795e-06
0.45    	0.15    	3.5491e-06
0.45    	0.2     	3.6897e-06
0.45    	0.25    	3.7283e-06
0.45    	0.3     	3.7419e-06
0.45    	0.35    	3.749e-06
0.45    	0.4     	3.7546e-06
0.45    	0.45    	3.7586e-06
0.45    	0.5     	3.762e-06
0.45    	0.55    	3.7649e-06
0.45    	0.6     	3.7675e-06
0.45    	0.65    	3.7698e-06
0.45    	0.7     	3.7719e-06
0.5     	0       	2.9994e-08
0.5     	0.05    	2.3905e-06
0.5     	0.1     	4.0625e-06
0.5     	0.15    	4.9259e-06
0.5     	0.2     	5.2291e-06
0.5     	0.25    	5.3197e-06
0.5     	0.3     	5.3494e-06
0.5     	0.35    	5.3596e-06
0.5     	0.4     	5.3717e-06
0.5     	0.45    	5.3745e-06
0.5     	0.5     	5.3777e-06
0.5     	0.55    	5.3816e-06
0.5     	0.6     	5.3883e-06
0.5     	0.65    	5.3891e-06
0.5     	0.7     	5.3912e-06
0.55    	0       	3.3256e-08
0.55    	0.05    	2.8236e-06
0.55    	0.1     	4.9597e-06
0.55    	0.15    	6.2836e-06
0.55    	0.2     	6.8323e-06
0.55    	0.25    	7.0057e-06
0.55    	0.3     	7.0724e-06
0.55    	0.35    	7.0948e-06
0.55    	0.4     	7.0992e-06
0.55    	0.45    	7.1096e-06
0.55    	0.5     	7.1167e-06
0.55    	0.55    	7.1171e-06
0.55    	0.6     	7.1236e-06
0.55    	0.65    	7.1285e-06
0.55    	0.7     	7.1282e-06
0.6     	0       	3.5941e-08
0.6     	0.05    	3.1839e-06
0.6     	0.1     	5.7408e-06
0.6     	0.15    	7.484e-06
0.6     	0.2     	8.3948e-06
0.6     	0.25    	8.7391e-06
0.6     	0.3     	8.8548e-06
0.6     	0.35    	8.8942e-06
0.6     	0.4     	8.9094e-06
0.6     	0.45    	8.9194e-06
