vg      	vd      	ids     
0       	0       	-1.9746e-13
0       	0.05    	1.7587e-10
0       	0.1     	2.1688e-10
0       	0.15    	2.3629e-10
0       	0.2     	2.525e-10
0       	0.25    	2.6806e-10
0       	0.3     	2.8235e-10
0       	0.35    	2.9416e-10
0       	0.4     	3.0448e-10
0       	0.45    	3.1431e-10
0       	0.5     	3.2399e-10
0       	0.55    	3.3364e-10
0       	0.6     	3.4328e-10
0       	0.65    	3.5292e-10
0       	0.7     	3.6255e-10
0.05    	0       	-4.2106e-15
0.05    	0.05    	9.9633e-10
0.05    	0.1     	1.2346e-09
0.05    	0.15    	1.3491e-09
0.05    	0.2     	1.4427e-09
0.05    	0.25    	1.5249e-09
0.05    	0.3     	1.5914e-09
0.05    	0.35    	1.6506e-09
0.05    	0.4     	1.7074e-09
0.05    	0.45    	1.763e-09
0.05    	0.5     	1.8181e-09
0.05    	0.55    	1.874e-09
0.05    	0.6     	1.929e-09
0.05    	0.65    	1.9842e-09
0.05    	0.7     	2.0394e-09
0.1     	0       	5.4682e-12
0.1     	0.05    	5.548e-09
0.1     	0.1     	6.9053e-09
0.1     	0.15    	7.5525e-09
0.1     	0.2     	8.0223e-09
0.1     	0.25    	8.3885e-09
0.1     	0.3     	8.722e-09
0.1     	0.35    	9.0449e-09
0.1     	0.4     	9.3616e-09
0.1     	0.45    	9.6734e-09
0.1     	0.5     	9.9818e-09
0.1     	0.55    	1.0288e-08
0.1     	0.6     	1.0595e-08
0.1     	0.65    	1.0901e-08
0.1     	0.7     	1.1209e-08
0.15    	0       	3.1329e-11
0.15    	0.05    	2.9278e-08
0.15    	0.1     	3.669e-08
0.15    	0.15    	3.9748e-08
0.15    	0.2     	4.1717e-08
0.15    	0.25    	4.3463e-08
0.15    	0.3     	4.5155e-08
0.15    	0.35    	4.6822e-08
0.15    	0.4     	4.8467e-08
0.15    	0.45    	5.0087e-08
0.15    	0.5     	5.1683e-08
0.15    	0.55    	5.326e-08
0.15    	0.6     	5.4825e-08
0.15    	0.65    	5.6383e-08
0.15    	0.7     	5.7939e-08
0.2     	0       	1.0956e-10
0.2     	0.05    	1.3429e-07
0.2     	0.1     	1.6895e-07
0.2     	0.15    	1.8131e-07
0.2     	0.2     	1.895e-07
0.2     	0.25    	1.9682e-07
0.2     	0.3     	2.0388e-07
0.2     	0.35    	2.1078e-07
0.2     	0.4     	2.1754e-07
0.2     	0.45    	2.2411e-07
0.2     	0.5     	2.3041e-07
0.2     	0.55    	2.3637e-07
0.2     	0.6     	2.4183e-07
0.2     	0.65    	2.4668e-07
0.2     	0.7     	2.5098e-07
0.25    	0       	3.0315e-10
0.25    	0.05    	4.4621e-07
0.25    	0.1     	5.7854e-07
0.25    	0.15    	6.2177e-07
0.25    	0.2     	6.4613e-07
0.25    	0.25    	6.6562e-07
0.25    	0.3     	6.8251e-07
0.25    	0.35    	6.9693e-07
0.25    	0.4     	7.0936e-07
0.25    	0.45    	7.2054e-07
0.25    	0.5     	7.3091e-07
0.25    	0.55    	7.4069e-07
0.25    	0.6     	7.5003e-07
0.25    	0.65    	7.5902e-07
0.25    	0.7     	7.6773e-07
0.3     	0       	7.0282e-10
0.3     	0.05    	9.9382e-07
0.3     	0.1     	1.3678e-06
0.3     	0.15    	1.4794e-06
0.3     	0.2     	1.5239e-06
0.3     	0.25    	1.5513e-06
0.3     	0.3     	1.5734e-06
0.3     	0.35    	1.5932e-06
0.3     	0.4     	1.6117e-06
0.3     	0.45    	1.6291e-06
0.3     	0.5     	1.6458e-06
0.3     	0.55    	1.6616e-06
0.3     	0.6     	1.6767e-06
0.3     	0.65    	1.6912e-06
0.3     	0.7     	1.7051e-06
0.35    	0       	1.3616e-09
0.35    	0.05    	1.6421e-06
0.35    	0.1     	2.4219e-06
0.35    	0.15    	2.6623e-06
0.35    	0.2     	2.7404e-06
0.35    	0.25    	2.7804e-06
0.35    	0.3     	2.8102e-06
0.35    	0.35    	2.8361e-06
0.35    	0.4     	2.8597e-06
0.35    	0.45    	2.8816e-06
0.35    	0.5     	2.9019e-06
0.35    	0.55    	2.9233e-06
0.35    	0.6     	2.9408e-06
0.35    	0.65    	2.9568e-06
0.35    	0.7     	2.9717e-06
0.4     	0       	2.1917e-09
0.4     	0.05    	2.2733e-06
0.4     	0.1     	3.5797e-06
0.4     	0.15    	4.0428e-06
0.4     	0.2     	4.1884e-06
0.4     	0.25    	4.2461e-06
0.4     	0.3     	4.2822e-06
0.4     	0.35    	4.3109e-06
0.4     	0.4     	4.3358e-06
0.4     	0.45    	4.3581e-06
0.4     	0.5     	4.3784e-06
0.4     	0.55    	4.3969e-06
0.4     	0.6     	4.4139e-06
0.4     	0.65    	4.4296e-06
0.4     	0.7     	4.4462e-06
0.45    	0       	3.0923e-09
0.45    	0.05    	2.8562e-06
0.45    	0.1     	4.7267e-06
0.45    	0.15    	5.5149e-06
0.45    	0.2     	5.7674e-06
0.45    	0.25    	5.8537e-06
0.45    	0.3     	5.9021e-06
0.45    	0.35    	5.9333e-06
0.45    	0.4     	5.9589e-06
0.45    	0.45    	5.9814e-06
0.45    	0.5     	6.0019e-06
0.45    	0.55    	6.0206e-06
0.45    	0.6     	6.0379e-06
0.45    	0.65    	6.0639e-06
0.45    	0.7     	6.0721e-06
0.5     	0       	3.9848e-09
0.5     	0.05    	3.3728e-06
0.5     	0.1     	5.7828e-06
0.5     	0.15    	7.0099e-06
0.5     	0.2     	7.4441e-06
0.5     	0.25    	7.5642e-06
0.5     	0.3     	7.6182e-06
0.5     	0.35    	7.6661e-06
0.5     	0.4     	7.6832e-06
0.5     	0.45    	7.7186e-06
0.5     	0.5     	7.729e-06
0.5     	0.55    	7.744e-06
0.5     	0.6     	7.772e-06
0.5     	0.65    	7.7816e-06
0.5     	0.7     	7.8063e-06
0.55    	0       	4.7974e-09
0.55    	0.05    	3.817e-06
0.55    	0.1     	6.7446e-06
0.55    	0.15    	8.4491e-06
0.55    	0.2     	9.1293e-06
0.55    	0.25    	9.3478e-06
0.55    	0.3     	9.4241e-06
0.55    	0.35    	9.445e-06
0.55    	0.4     	9.4825e-06
0.55    	0.45    	9.5029e-06
0.55    	0.5     	9.5302e-06
0.55    	0.55    	9.5496e-06
0.55    	0.6     	9.5669e-06
0.55    	0.65    	9.5828e-06
0.55    	0.7     	9.5975e-06
0.6     	0       	5.5661e-09
0.6     	0.05    	4.1995e-06
0.6     	0.1     	7.5915e-06
0.6     	0.15    	9.7675e-06
0.6     	0.2     	1.0763e-05
0.6     	0.25    	1.1126e-05
0.6     	0.3     	1.1247e-05
0.6     	0.35    	1.1286e-05
0.6     	0.4     	1.133e-05
0.6     	0.45    	1.1346e-05
0.6     	0.5     	1.1368e-05
0.6     	0.55    	1.1389e-05
0.6     	0.6     	1.1401e-05
0.6     	0.65    	1.1419e-05
0.6     	0.7     	1.1428e-05
0.65    	0       	6.229e-09
0.65    	0.05    	4.5269e-06
0.65    	0.1     	8.3239e-06
0.65    	0.15    	1.0975e-05
0.65    	0.2     	1.2401e-05
0.65    	0.25    	1.2926e-05
0.65    	0.3     	1.3105e-05
0.65    	0.35    	1.3174e-05
0.65    	0.4     	1.3204e-05
0.65    	0.45    	1.3231e-05
0.65    	0.5     	1.3237e-05
0.65    	0.55    	1.3248e-05
0.65    	0.6     	1.3271e-05
