vg      	vd      	ids     
0       	0       	5.9258e-17
0       	0.05    	1.4642e-13
0       	0.1     	1.6888e-13
0       	0.15    	1.7331e-13
0       	0.2     	1.75e-13
0       	0.25    	1.7624e-13
0       	0.3     	1.7735e-13
0       	0.35    	1.7837e-13
0       	0.4     	1.7931e-13
0       	0.45    	1.8009e-13
0       	0.5     	1.8065e-13
0       	0.55    	1.8092e-13
0       	0.6     	1.8098e-13
0       	0.65    	1.8099e-13
0       	0.7     	1.81e-13
0.05    	0       	7.4207e-16
0.05    	0.05    	9.8607e-13
0.05    	0.1     	1.1388e-12
0.05    	0.15    	1.1691e-12
0.05    	0.2     	1.1811e-12
0.05    	0.25    	1.1899e-12
0.05    	0.3     	1.1977e-12
0.05    	0.35    	1.2051e-12
0.05    	0.4     	1.2118e-12
0.05    	0.45    	1.218e-12
0.05    	0.5     	1.2232e-12
0.05    	0.55    	1.2269e-12
0.05    	0.6     	1.2286e-12
0.05    	0.65    	1.2291e-12
0.05    	0.7     	1.2291e-12
0.1     	0       	6.2451e-15
0.1     	0.05    	6.6763e-12
0.1     	0.1     	7.7082e-12
0.1     	0.15    	7.9172e-12
0.1     	0.2     	8.0011e-12
0.1     	0.25    	8.0634e-12
0.1     	0.3     	8.1194e-12
0.1     	0.35    	8.1713e-12
0.1     	0.4     	8.2195e-12
0.1     	0.45    	8.2637e-12
0.1     	0.5     	8.3042e-12
0.1     	0.55    	8.3374e-12
0.1     	0.6     	8.3613e-12
0.1     	0.65    	8.3724e-12
0.1     	0.7     	8.3752e-12
0.15    	0       	6.1279e-14
0.15    	0.05    	4.4797e-11
0.15    	0.1     	5.1844e-11
0.15    	0.15    	5.3278e-11
0.15    	0.2     	5.3866e-11
0.15    	0.25    	5.4303e-11
0.15    	0.3     	5.4692e-11
0.15    	0.35    	5.5052e-11
0.15    	0.4     	5.5384e-11
0.15    	0.45    	5.569e-11
0.15    	0.5     	5.5968e-11
0.15    	0.55    	5.6219e-11
0.15    	0.6     	5.6423e-11
0.15    	0.65    	5.6569e-11
0.15    	0.7     	5.6636e-11
0.2     	0       	4.2512e-13
0.2     	0.05    	3.0181e-10
0.2     	0.1     	3.4932e-10
0.2     	0.15    	3.5923e-10
0.2     	0.2     	3.6334e-10
0.2     	0.25    	3.6637e-10
0.2     	0.3     	3.6903e-10
0.2     	0.35    	3.7146e-10
0.2     	0.4     	3.7367e-10
0.2     	0.45    	3.7569e-10
0.2     	0.5     	3.7753e-10
0.2     	0.55    	3.7917e-10
0.2     	0.6     	3.8065e-10
0.2     	0.65    	3.8185e-10
0.2     	0.7     	3.827e-10
0.25    	0       	3.6765e-12
0.25    	0.05    	1.9976e-09
0.25    	0.1     	2.319e-09
0.25    	0.15    	2.3865e-09
0.25    	0.2     	2.4143e-09
0.25    	0.25    	2.4344e-09
0.25    	0.3     	2.4516e-09
0.25    	0.35    	2.4669e-09
0.25    	0.4     	2.4807e-09
0.25    	0.45    	2.4932e-09
0.25    	0.5     	2.5045e-09
0.25    	0.55    	2.5148e-09
0.25    	0.6     	2.5241e-09
0.25    	0.65    	2.5325e-09
0.25    	0.7     	2.5394e-09
0.3     	0       	1.9744e-11
0.3     	0.05    	1.2796e-08
0.3     	0.1     	1.4932e-08
0.3     	0.15    	1.538e-08
0.3     	0.2     	1.5552e-08
0.3     	0.25    	1.5672e-08
0.3     	0.3     	1.5772e-08
0.3     	0.35    	1.5859e-08
0.3     	0.4     	1.5938e-08
0.3     	0.45    	1.601e-08
0.3     	0.5     	1.6078e-08
0.3     	0.55    	1.6139e-08
0.3     	0.6     	1.6195e-08
0.3     	0.65    	1.6246e-08
0.3     	0.7     	1.6292e-08
0.35    	0       	9.1979e-11
0.35    	0.05    	6.8416e-08
0.35    	0.1     	8.1866e-08
0.35    	0.15    	8.4593e-08
0.35    	0.2     	8.5503e-08
0.35    	0.25    	8.6057e-08
0.35    	0.3     	8.6503e-08
0.35    	0.35    	8.6893e-08
0.35    	0.4     	8.7245e-08
0.35    	0.45    	8.7566e-08
0.35    	0.5     	8.7862e-08
0.35    	0.55    	8.8136e-08
0.35    	0.6     	8.839e-08
0.35    	0.65    	8.8623e-08
0.35    	0.7     	8.8849e-08
0.4     	0       	2.4963e-10
0.4     	0.05    	2.269e-07
0.4     	0.1     	2.9708e-07
0.4     	0.15    	3.1307e-07
0.4     	0.2     	3.1697e-07
0.4     	0.25    	3.1867e-07
0.4     	0.3     	3.1984e-07
0.4     	0.35    	3.2079e-07
0.4     	0.4     	3.2169e-07
0.4     	0.45    	3.2242e-07
0.4     	0.5     	3.2308e-07
0.4     	0.55    	3.2367e-07
0.4     	0.6     	3.2421e-07
0.4     	0.65    	3.247e-07
0.4     	0.7     	3.2517e-07
0.45    	0       	4.0472e-10
0.45    	0.05    	4.1982e-07
0.45    	0.1     	6.4641e-07
0.45    	0.15    	7.2265e-07
0.45    	0.2     	7.4107e-07
0.45    	0.25    	7.4665e-07
0.45    	0.3     	7.49e-07
0.45    	0.35    	7.5056e-07
0.45    	0.4     	7.518e-07
0.45    	0.45    	7.5295e-07
0.45    	0.5     	7.5386e-07
0.45    	0.55    	7.5466e-07
0.45    	0.6     	7.5544e-07
0.45    	0.65    	7.5607e-07
0.45    	0.7     	7.5661e-07
0.5     	0       	5.2639e-10
0.5     	0.05    	5.5145e-07
0.5     	0.1     	9.561e-07
0.5     	0.15    	1.1774e-06
0.5     	0.2     	1.2605e-06
0.5     	0.25    	1.2844e-06
0.5     	0.3     	1.2917e-06
0.5     	0.35    	1.2947e-06
0.5     	0.4     	1.2966e-06
0.5     	0.45    	1.298e-06
0.5     	0.5     	1.2991e-06
0.5     	0.55    	1.3001e-06
0.5     	0.6     	1.3008e-06
0.5     	0.65    	1.3015e-06
0.5     	0.7     	1.302e-06
0.55    	0       	6.276e-10
0.55    	0.05    	6.3091e-07
0.55    	0.1     	1.1542e-06
0.55    	0.15    	1.523e-06
0.55    	0.2     	1.7374e-06
0.55    	0.25    	1.8251e-06
0.55    	0.3     	1.8558e-06
0.55    	0.35    	1.8651e-06
0.55    	0.4     	1.8693e-06
0.55    	0.45    	1.8714e-06
0.55    	0.5     	1.8729e-06
0.55    	0.55    	1.874e-06
0.55    	0.6     	1.8748e-06
0.55    	0.65    	1.8752e-06
0.55    	0.7     	1.8754e-06
0.6     	0       	7.1568e-10
0.6     	0.05    	6.8293e-07
0.6     	0.1     	1.2771e-06
0.6     	0.15    	1.7403e-06
0.6     	0.2     	2.0562e-06
0.6     	0.25    	2.2548e-06
0.6     	0.3     	2.3555e-06
0.6     	0.35    	2.3928e-06
0.6     	0.4     	2.4079e-06
0.6     	0.45    	2.4137e-06
0.6     	0.5     	2.4168e-06
0.6     	0.55    	2.4182e-06
0.6     	0.6     	2.4189e-06
0.6     	0.65    	2.4191e-06
0.6     	0.7     	2.4191e-06
0.65    	0       	7.9242e-10
0.65    	0.05    	7.1748e-07
0.65    	0.1     	1.3559e-06
0.65    	0.15    	1.8753e-06
0.65    	0.2     	2.2572e-06
0.65    	0.25    	2.5303e-06
0.65    	0.3     	2.7011e-06
0.65    	0.35    	2.8017e-06
0.65    	0.4     	2.8499e-06
0.65    	0.45    	2.8718e-06
0.65    	0.5     	2.8804e-06
0.65    	0.55    	2.8831e-06
0.65    	0.6     	2.8841e-06
0.65    	0.65    	2.8844e-06
0.65    	0.7     	2.8847e-06
0.7     	0       	8.6213e-10
0.7     	0.05    	7.3807e-07
0.7     	0.1     	1.4059e-06
0.7     	0.15    	1.961e-06
0.7     	0.2     	2.3804e-06
0.7     	0.25    	2.694e-06
0.7     	0.3     	2.9067e-06
0.7     	0.35    	3.0433e-06
0.7     	0.4     	3.1218e-06
0.7     	0.45    	3.162e-06
0.7     	0.5     	3.1741e-06
0.7     	0.55    	3.1791e-06
0.7     	0.6     	3.1807e-06
0.7     	0.65    	3.1822e-06
0.7     	0.7     	3.1836e-06
