vg      	vd      	ids     
0       	0       	8.4906e-20
0       	0.05    	3.4467e-17
0       	0.1     	3.9682e-17
0       	0.15    	4.0677e-17
0       	0.2     	4.1049e-17
0       	0.25    	4.1323e-17
0       	0.3     	4.1578e-17
0       	0.35    	4.1825e-17
0       	0.4     	4.2065e-17
0       	0.45    	4.2301e-17
0       	0.5     	4.2531e-17
0       	0.55    	4.2756e-17
0       	0.6     	4.2977e-17
0       	0.65    	4.3194e-17
0       	0.7     	4.3406e-17
0.05    	0       	5.511e-19
0.05    	0.05    	2.3465e-16
0.05    	0.1     	2.7053e-16
0.05    	0.15    	2.7737e-16
0.05    	0.2     	2.7996e-16
0.05    	0.25    	2.8189e-16
0.05    	0.3     	2.8367e-16
0.05    	0.35    	2.854e-16
0.05    	0.4     	2.8708e-16
0.05    	0.45    	2.8872e-16
0.05    	0.5     	2.9032e-16
0.05    	0.55    	2.9188e-16
0.05    	0.6     	2.9341e-16
0.05    	0.65    	2.9491e-16
0.05    	0.7     	2.9637e-16
0.1     	0       	3.9005e-18
0.1     	0.05    	1.5967e-15
0.1     	0.1     	1.8415e-15
0.1     	0.15    	1.8888e-15
0.1     	0.2     	1.9069e-15
0.1     	0.25    	1.9204e-15
0.1     	0.3     	1.9329e-15
0.1     	0.35    	1.9449e-15
0.1     	0.4     	1.9566e-15
0.1     	0.45    	1.968e-15
0.1     	0.5     	1.9792e-15
0.1     	0.55    	1.99e-15
0.1     	0.6     	2.0006e-15
0.1     	0.65    	2.0109e-15
0.1     	0.7     	2.0209e-15
0.15    	0       	2.7657e-17
0.15    	0.05    	1.084e-14
0.15    	0.1     	1.2508e-14
0.15    	0.15    	1.2834e-14
0.15    	0.2     	1.296e-14
0.15    	0.25    	1.3055e-14
0.15    	0.3     	1.3142e-14
0.15    	0.35    	1.3227e-14
0.15    	0.4     	1.3308e-14
0.15    	0.45    	1.3387e-14
0.15    	0.5     	1.3464e-14
0.15    	0.55    	1.3538e-14
0.15    	0.6     	1.3611e-14
0.15    	0.65    	1.3681e-14
0.15    	0.7     	1.375e-14
0.2     	0       	-2.0597e-16
0.2     	0.05    	7.3802e-14
0.2     	0.1     	8.5144e-14
0.2     	0.15    	8.7386e-14
0.2     	0.2     	8.8272e-14
0.2     	0.25    	8.8938e-14
0.2     	0.3     	8.9551e-14
0.2     	0.35    	9.0138e-14
0.2     	0.4     	9.0705e-14
0.2     	0.45    	9.1253e-14
0.2     	0.5     	9.1783e-14
0.2     	0.55    	9.2295e-14
0.2     	0.6     	9.2791e-14
0.2     	0.65    	9.327e-14
0.2     	0.7     	9.3733e-14
0.25    	0       	1.3099e-15
0.25    	0.05    	5.0343e-13
0.25    	0.1     	5.8126e-13
0.25    	0.15    	5.9671e-13
0.25    	0.2     	6.0294e-13
0.25    	0.25    	6.0763e-13
0.25    	0.3     	6.1195e-13
0.25    	0.35    	6.1605e-13
0.25    	0.4     	6.1999e-13
0.25    	0.45    	6.2378e-13
0.25    	0.5     	6.2742e-13
0.25    	0.55    	6.3092e-13
0.25    	0.6     	6.3428e-13
0.25    	0.65    	6.3749e-13
0.25    	0.7     	6.4057e-13
0.3     	0       	9.5742e-15
0.3     	0.05    	3.4092e-12
0.3     	0.1     	3.9387e-12
0.3     	0.15    	4.0458e-12
0.3     	0.2     	4.0894e-12
0.3     	0.25    	4.1223e-12
0.3     	0.3     	4.1523e-12
0.3     	0.35    	4.1806e-12
0.3     	0.4     	4.2077e-12
0.3     	0.45    	4.2334e-12
0.3     	0.5     	4.2579e-12
0.3     	0.55    	4.2811e-12
0.3     	0.6     	4.3033e-12
0.3     	0.65    	4.3242e-12
0.3     	0.7     	4.344e-12
0.35    	0       	7.2818e-14
0.35    	0.05    	2.2977e-11
0.35    	0.1     	2.6573e-11
0.35    	0.15    	2.7311e-11
0.35    	0.2     	2.7615e-11
0.35    	0.25    	2.7844e-11
0.35    	0.3     	2.8051e-11
0.35    	0.35    	2.8244e-11
0.35    	0.4     	2.8425e-11
0.35    	0.45    	2.8595e-11
0.35    	0.5     	2.8755e-11
0.35    	0.55    	2.8905e-11
0.35    	0.6     	2.9046e-11
0.35    	0.65    	2.9177e-11
0.35    	0.7     	2.93e-11
0.4     	0       	3.799e-13
0.4     	0.05    	1.5637e-10
0.4     	0.1     	1.8071e-10
0.4     	0.15    	1.858e-10
0.4     	0.2     	1.8793e-10
0.4     	0.25    	1.8952e-10
0.4     	0.3     	1.9092e-10
0.4     	0.35    	1.9221e-10
0.4     	0.4     	1.934e-10
0.4     	0.45    	1.945e-10
0.4     	0.5     	1.9551e-10
0.4     	0.55    	1.9645e-10
0.4     	0.6     	1.9732e-10
0.4     	0.65    	1.9814e-10
0.4     	0.7     	1.989e-10
0.45    	0       	2.4566e-12
0.45    	0.05    	1.0439e-09
0.45    	0.1     	1.2102e-09
0.45    	0.15    	1.2449e-09
0.45    	0.2     	1.2594e-09
0.45    	0.25    	1.27e-09
0.45    	0.3     	1.279e-09
0.45    	0.35    	1.2871e-09
0.45    	0.4     	1.2944e-09
0.45    	0.45    	1.3011e-09
0.45    	0.5     	1.3072e-09
0.45    	0.55    	1.3129e-09
0.45    	0.6     	1.3182e-09
0.45    	0.65    	1.3232e-09
0.45    	0.7     	1.3279e-09
0.5     	0       	1.2172e-11
0.5     	0.05    	6.8266e-09
0.5     	0.1     	7.9372e-09
0.5     	0.15    	8.1706e-09
0.5     	0.2     	8.263e-09
0.5     	0.25    	8.3269e-09
0.5     	0.3     	8.3802e-09
0.5     	0.35    	8.4272e-09
0.5     	0.4     	8.4696e-09
0.5     	0.45    	8.5084e-09
0.5     	0.5     	8.5445e-09
0.5     	0.55    	8.5782e-09
0.5     	0.6     	8.6101e-09
0.5     	0.65    	8.6404e-09
0.5     	0.7     	8.6694e-09
0.55    	0       	4.9344e-11
0.55    	0.05    	3.9596e-08
0.55    	0.1     	4.6755e-08
0.55    	0.15    	4.819e-08
0.55    	0.2     	4.8693e-08
0.55    	0.25    	4.9013e-08
0.55    	0.3     	4.9276e-08
0.55    	0.35    	4.9509e-08
0.55    	0.4     	4.972e-08
0.55    	0.45    	4.9914e-08
0.55    	0.5     	5.0096e-08
0.55    	0.55    	5.0266e-08
0.55    	0.6     	5.0428e-08
0.55    	0.65    	5.0577e-08
0.55    	0.7     	5.0724e-08
0.6     	0       	1.29e-10
0.6     	0.05    	1.5566e-07
0.6     	0.1     	1.9586e-07
0.6     	0.15    	2.0387e-07
0.6     	0.2     	2.0601e-07
0.6     	0.25    	2.0707e-07
0.6     	0.3     	2.0786e-07
0.6     	0.35    	2.0853e-07
0.6     	0.4     	2.0912e-07
0.6     	0.45    	2.0965e-07
0.6     	0.5     	2.1013e-07
0.6     	0.55    	2.1057e-07
0.6     	0.6     	2.1098e-07
0.6     	0.65    	2.1136e-07
0.6     	0.7     	2.1172e-07
0.65    	0       	2.0217e-10
0.65    	0.05    	3.367e-07
0.65    	0.1     	4.8688e-07
0.65    	0.15    	5.2751e-07
0.65    	0.2     	5.3611e-07
0.65    	0.25    	5.3898e-07
0.65    	0.3     	5.4073e-07
0.65    	0.35    	5.4187e-07
0.65    	0.4     	5.4281e-07
0.65    	0.45    	5.4364e-07
0.65    	0.5     	5.4437e-07
0.65    	0.55    	5.4512e-07
0.65    	0.6     	5.4573e-07
0.65    	0.65    	5.4629e-07
0.65    	0.7     	5.4681e-07
0.7     	0       	2.5272e-10
0.7     	0.05    	4.7431e-07
0.7     	0.1     	7.9564e-07
0.7     	0.15    	9.3874e-07
0.7     	0.2     	9.7685e-07
0.7     	0.25    	9.8682e-07
0.7     	0.3     	9.8999e-07
0.7     	0.35    	9.9178e-07
0.7     	0.4     	9.9327e-07
0.7     	0.45    	9.9436e-07
0.7     	0.5     	9.9528e-07
0.7     	0.55    	9.961e-07
0.7     	0.6     	9.9692e-07
0.7     	0.65    	9.9758e-07
0.7     	0.7     	9.9819e-07
