vg      	vd      	ids     
0       	0       	1.0523e-19
0       	0.05    	1.2003e-17
0       	0.1     	1.3713e-17
0       	0.15    	1.3974e-17
0       	0.2     	1.4024e-17
0       	0.25    	1.4041e-17
0       	0.3     	1.4053e-17
0       	0.35    	1.4064e-17
0       	0.4     	1.4075e-17
0       	0.45    	1.4086e-17
0       	0.5     	1.4096e-17
0       	0.55    	1.4107e-17
0       	0.6     	1.4115e-17
0       	0.65    	1.4125e-17
0       	0.7     	1.4134e-17
0.05    	0       	6.5253e-19
0.05    	0.05    	8.2476e-17
0.05    	0.1     	9.4479e-17
0.05    	0.15    	9.627e-17
0.05    	0.2     	9.661e-17
0.05    	0.25    	9.6733e-17
0.05    	0.3     	9.6823e-17
0.05    	0.35    	9.6903e-17
0.05    	0.4     	9.698e-17
0.05    	0.45    	9.7055e-17
0.05    	0.5     	9.7126e-17
0.05    	0.55    	9.7194e-17
0.05    	0.6     	9.726e-17
0.05    	0.65    	9.7325e-17
0.05    	0.7     	9.7387e-17
0.1     	0       	4.4624e-18
0.1     	0.05    	5.6878e-16
0.1     	0.1     	6.5129e-16
0.1     	0.15    	6.6387e-16
0.1     	0.2     	6.6623e-16
0.1     	0.25    	6.6711e-16
0.1     	0.3     	6.6774e-16
0.1     	0.35    	6.6832e-16
0.1     	0.4     	6.6887e-16
0.1     	0.45    	6.6939e-16
0.1     	0.5     	6.6989e-16
0.1     	0.55    	6.7037e-16
0.1     	0.6     	6.7084e-16
0.1     	0.65    	6.7129e-16
0.1     	0.7     	6.7172e-16
0.15    	0       	2.9346e-17
0.15    	0.05    	3.932e-15
0.15    	0.1     	4.5014e-15
0.15    	0.15    	4.5881e-15
0.15    	0.2     	4.6048e-15
0.15    	0.25    	4.611e-15
0.15    	0.3     	4.6156e-15
0.15    	0.35    	4.6197e-15
0.15    	0.4     	4.6236e-15
0.15    	0.45    	4.6273e-15
0.15    	0.5     	4.6308e-15
0.15    	0.55    	4.6342e-15
0.15    	0.6     	4.6375e-15
0.15    	0.65    	4.6407e-15
0.15    	0.7     	4.6437e-15
0.2     	0       	2.1924e-16
0.2     	0.05    	2.7205e-14
0.2     	0.1     	3.1145e-14
0.2     	0.15    	3.1745e-14
0.2     	0.2     	3.1861e-14
0.2     	0.25    	3.1906e-14
0.2     	0.3     	3.1938e-14
0.2     	0.35    	3.1968e-14
0.2     	0.4     	3.1996e-14
0.2     	0.45    	3.2022e-14
0.2     	0.5     	3.2047e-14
0.2     	0.55    	3.2071e-14
0.2     	0.6     	3.2094e-14
0.2     	0.65    	3.2117e-14
0.2     	0.7     	3.2138e-14
0.25    	0       	1.7524e-15
0.25    	0.05    	1.8756e-13
0.25    	0.1     	2.1481e-13
0.25    	0.15    	2.1898e-13
0.25    	0.2     	2.1979e-13
0.25    	0.25    	2.2011e-13
0.25    	0.3     	2.2034e-13
0.25    	0.35    	2.2055e-13
0.25    	0.4     	2.2075e-13
0.25    	0.45    	2.2094e-13
0.25    	0.5     	2.2112e-13
0.25    	0.55    	2.2129e-13
0.25    	0.6     	2.2145e-13
0.25    	0.65    	2.2161e-13
0.25    	0.7     	2.2176e-13
0.3     	0       	-9.8568e-15
0.3     	0.05    	1.2806e-12
0.3     	0.1     	1.4683e-12
0.3     	0.15    	1.4972e-12
0.3     	0.2     	1.503e-12
0.3     	0.25    	1.5052e-12
0.3     	0.3     	1.5069e-12
0.3     	0.35    	1.5084e-12
0.3     	0.4     	1.5098e-12
0.3     	0.45    	1.5111e-12
0.3     	0.5     	1.5123e-12
0.3     	0.55    	1.5135e-12
0.3     	0.6     	1.5147e-12
0.3     	0.65    	1.5157e-12
0.3     	0.7     	1.5168e-12
0.35    	0       	7.6513e-14
0.35    	0.05    	8.9201e-12
0.35    	0.1     	1.0225e-11
0.35    	0.15    	1.0426e-11
0.35    	0.2     	1.0466e-11
0.35    	0.25    	1.0483e-11
0.35    	0.3     	1.0495e-11
0.35    	0.35    	1.0506e-11
0.35    	0.4     	1.0516e-11
0.35    	0.45    	1.0525e-11
0.35    	0.5     	1.0534e-11
0.35    	0.55    	1.0543e-11
0.35    	0.6     	1.0551e-11
0.35    	0.65    	1.0558e-11
0.35    	0.7     	1.0566e-11
0.4     	0       	4.3693e-13
0.4     	0.05    	6.1028e-11
0.4     	0.1     	6.9978e-11
0.4     	0.15    	7.1376e-11
0.4     	0.2     	7.1663e-11
0.4     	0.25    	7.1781e-11
0.4     	0.3     	7.1868e-11
0.4     	0.35    	7.1945e-11
0.4     	0.4     	7.2016e-11
0.4     	0.45    	7.2082e-11
0.4     	0.5     	7.2145e-11
0.4     	0.55    	7.2204e-11
0.4     	0.6     	7.226e-11
0.4     	0.65    	7.2313e-11
0.4     	0.7     	7.2364e-11
0.45    	0       	2.1256e-12
0.45    	0.05    	4.1738e-10
0.45    	0.1     	4.7879e-10
0.45    	0.15    	4.8844e-10
0.45    	0.2     	4.9047e-10
0.45    	0.25    	4.9132e-10
0.45    	0.3     	4.9195e-10
0.45    	0.35    	4.9251e-10
0.45    	0.4     	4.9301e-10
0.45    	0.45    	4.9347e-10
0.45    	0.5     	4.9391e-10
0.45    	0.55    	4.9432e-10
0.45    	0.6     	4.947e-10
0.45    	0.65    	4.9507e-10
0.45    	0.7     	4.9542e-10
0.5     	0       	1.1394e-11
0.5     	0.05    	2.8269e-09
0.5     	0.1     	3.2485e-09
0.5     	0.15    	3.3153e-09
0.5     	0.2     	3.3296e-09
0.5     	0.25    	3.3357e-09
0.5     	0.3     	3.3402e-09
0.5     	0.35    	3.3441e-09
0.5     	0.4     	3.3477e-09
0.5     	0.45    	3.3509e-09
0.5     	0.5     	3.3539e-09
0.5     	0.55    	3.3567e-09
0.5     	0.6     	3.3593e-09
0.5     	0.65    	3.3617e-09
0.5     	0.7     	3.3641e-09
0.55    	0       	6.9846e-11
0.55    	0.05    	1.8559e-08
0.55    	0.1     	2.142e-08
0.55    	0.15    	2.1881e-08
0.55    	0.2     	2.1981e-08
0.55    	0.25    	2.2023e-08
0.55    	0.3     	2.2054e-08
0.55    	0.35    	2.208e-08
0.55    	0.4     	2.2103e-08
0.55    	0.45    	2.2125e-08
0.55    	0.5     	2.2144e-08
0.55    	0.55    	2.2162e-08
0.55    	0.6     	2.2178e-08
0.55    	0.65    	2.2194e-08
0.55    	0.7     	2.2209e-08
0.6     	0       	3.9836e-10
0.6     	0.05    	1.0328e-07
0.6     	0.1     	1.2209e-07
0.6     	0.15    	1.2523e-07
0.6     	0.2     	1.2589e-07
0.6     	0.25    	1.2614e-07
0.6     	0.3     	1.2631e-07
0.6     	0.35    	1.2645e-07
0.6     	0.4     	1.2657e-07
0.6     	0.45    	1.2668e-07
0.6     	0.5     	1.2678e-07
0.6     	0.55    	1.2687e-07
0.6     	0.6     	1.2695e-07
0.6     	0.65    	1.2703e-07
0.6     	0.7     	1.271e-07
0.65    	0       	1.19e-09
0.65    	0.05    	3.6344e-07
0.65    	0.1     	4.6699e-07
0.65    	0.15    	4.8694e-07
0.65    	0.2     	4.908e-07
0.65    	0.25    	4.9193e-07
0.65    	0.3     	4.9255e-07
0.65    	0.35    	4.9302e-07
0.65    	0.4     	4.9341e-07
0.65    	0.45    	4.9376e-07
0.65    	0.5     	4.9406e-07
0.65    	0.55    	4.9434e-07
0.65    	0.6     	4.9459e-07
0.65    	0.65    	4.9482e-07
0.65    	0.7     	4.9503e-07
0.7     	0       	2.0491e-09
0.7     	0.05    	7.1314e-07
0.7     	0.1     	1.068e-06
0.7     	0.15    	1.1664e-06
0.7     	0.2     	1.1893e-06
0.7     	0.25    	1.1918e-06
0.7     	0.3     	1.1946e-06
0.7     	0.35    	1.1958e-06
0.7     	0.4     	1.195e-06
0.7     	0.45    	1.1963e-06
0.7     	0.5     	1.1958e-06
0.7     	0.55    	1.1984e-06
0.7     	0.6     	1.1973e-06
0.7     	0.65    	1.1991e-06
0.7     	0.7     	1.1985e-06
