vg      	vd      	ids     
0       	0       	1.849e-14
0       	0.05    	3.6307e-13
0       	0.1     	4.1864e-13
0       	0.15    	4.2991e-13
0       	0.2     	4.3444e-13
0       	0.25    	4.3784e-13
0       	0.3     	4.4096e-13
0       	0.35    	4.4394e-13
0       	0.4     	4.468e-13
0       	0.45    	4.4953e-13
0       	0.5     	4.5213e-13
0       	0.55    	4.5459e-13
0       	0.6     	4.5692e-13
0       	0.65    	4.5913e-13
0       	0.7     	4.612e-13
0.05    	0       	1.134e-13
0.05    	0.05    	2.4385e-12
0.05    	0.1     	2.8195e-12
0.05    	0.15    	2.8965e-12
0.05    	0.2     	2.9277e-12
0.05    	0.25    	2.951e-12
0.05    	0.3     	2.9722e-12
0.05    	0.35    	2.9923e-12
0.05    	0.4     	3.0114e-12
0.05    	0.45    	3.0295e-12
0.05    	0.5     	3.0468e-12
0.05    	0.55    	3.063e-12
0.05    	0.6     	3.0783e-12
0.05    	0.65    	3.0927e-12
0.05    	0.7     	3.1064e-12
0.1     	0       	7.3345e-13
0.1     	0.05    	1.6319e-11
0.1     	0.1     	1.895e-11
0.1     	0.15    	1.9478e-11
0.1     	0.2     	1.9694e-11
0.1     	0.25    	1.9854e-11
0.1     	0.3     	1.9997e-11
0.1     	0.35    	2.0131e-11
0.1     	0.4     	2.0257e-11
0.1     	0.45    	2.0376e-11
0.1     	0.5     	2.0488e-11
0.1     	0.55    	2.0594e-11
0.1     	0.6     	2.0694e-11
0.1     	0.65    	2.0788e-11
0.1     	0.7     	2.0877e-11
0.15    	0       	4.9705e-12
0.15    	0.05    	1.058e-10
0.15    	0.1     	1.2351e-10
0.15    	0.15    	1.2707e-10
0.15    	0.2     	1.2852e-10
0.15    	0.25    	1.2959e-10
0.15    	0.3     	1.3053e-10
0.15    	0.35    	1.3139e-10
0.15    	0.4     	1.3219e-10
0.15    	0.45    	1.3294e-10
0.15    	0.5     	1.3364e-10
0.15    	0.55    	1.3431e-10
0.15    	0.6     	1.3494e-10
0.15    	0.65    	1.3553e-10
0.15    	0.7     	1.361e-10
0.2     	0       	3.2619e-11
0.2     	0.05    	6.6499e-10
0.2     	0.1     	7.7963e-10
0.2     	0.15    	8.0331e-10
0.2     	0.2     	8.1272e-10
0.2     	0.25    	8.1951e-10
0.2     	0.3     	8.254e-10
0.2     	0.35    	8.3073e-10
0.2     	0.4     	8.3562e-10
0.2     	0.45    	8.4016e-10
0.2     	0.5     	8.4443e-10
0.2     	0.55    	8.4847e-10
0.2     	0.6     	8.5231e-10
0.2     	0.65    	8.5598e-10
0.2     	0.7     	8.5949e-10
0.25    	0       	1.9829e-10
0.25    	0.05    	4.084e-09
0.25    	0.1     	4.8034e-09
0.25    	0.15    	4.9545e-09
0.25    	0.2     	5.0133e-09
0.25    	0.25    	5.0544e-09
0.25    	0.3     	5.0897e-09
0.25    	0.35    	5.1214e-09
0.25    	0.4     	5.1503e-09
0.25    	0.45    	5.177e-09
0.25    	0.5     	5.2021e-09
0.25    	0.55    	5.226e-09
0.25    	0.6     	5.2487e-09
0.25    	0.65    	5.2706e-09
0.25    	0.7     	5.2916e-09
0.3     	0       	1.0845e-09
0.3     	0.05    	2.3679e-08
0.3     	0.1     	2.8079e-08
0.3     	0.15    	2.9e-08 
0.3     	0.2     	2.9336e-08
0.3     	0.25    	2.956e-08
0.3     	0.3     	2.975e-08
0.3     	0.35    	2.9921e-08
0.3     	0.4     	3.0077e-08
0.3     	0.45    	3.0222e-08
0.3     	0.5     	3.0356e-08
0.3     	0.55    	3.0484e-08
0.3     	0.6     	3.0605e-08
0.3     	0.65    	3.0722e-08
0.3     	0.7     	3.0834e-08
0.35    	0       	4.5114e-09
0.35    	0.05    	1.1317e-07
0.35    	0.1     	1.383e-07
0.35    	0.15    	1.4346e-07
0.35    	0.2     	1.4508e-07
0.35    	0.25    	1.4601e-07
0.35    	0.3     	1.4677e-07
0.35    	0.35    	1.4743e-07
0.35    	0.4     	1.4803e-07
0.35    	0.45    	1.4858e-07
0.35    	0.5     	1.4908e-07
0.35    	0.55    	1.4955e-07
0.35    	0.6     	1.4998e-07
0.35    	0.65    	1.5039e-07
0.35    	0.7     	1.5079e-07
0.4     	0       	1.1199e-08
0.4     	0.05    	3.4806e-07
0.4     	0.1     	4.596e-07
0.4     	0.15    	4.8449e-07
0.4     	0.2     	4.908e-07
0.4     	0.25    	4.9344e-07
0.4     	0.3     	4.9523e-07
0.4     	0.35    	4.9673e-07
0.4     	0.4     	4.9806e-07
0.4     	0.45    	4.9925e-07
0.4     	0.5     	5.0033e-07
0.4     	0.55    	5.0132e-07
0.4     	0.6     	5.0223e-07
0.4     	0.65    	5.0309e-07
0.4     	0.7     	5.0389e-07
0.45    	0       	1.8229e-08
0.45    	0.05    	6.7e-07 
0.45    	0.1     	9.8719e-07
0.45    	0.15    	1.0795e-06
0.45    	0.2     	1.1021e-06
0.45    	0.25    	1.1091e-06
0.45    	0.3     	1.1125e-06
0.45    	0.35    	1.1151e-06
0.45    	0.4     	1.1172e-06
0.45    	0.45    	1.119e-06
0.45    	0.5     	1.1207e-06
0.45    	0.55    	1.1222e-06
0.45    	0.6     	1.1236e-06
0.45    	0.65    	1.1248e-06
0.45    	0.7     	1.126e-06
0.5     	0       	2.3954e-08
0.5     	0.05    	9.7264e-07
0.5     	0.1     	1.5719e-06
0.5     	0.15    	1.8203e-06
0.5     	0.2     	1.8906e-06
0.5     	0.25    	1.91e-06
0.5     	0.3     	1.9171e-06
0.5     	0.35    	1.9211e-06
0.5     	0.4     	1.9242e-06
0.5     	0.45    	1.9267e-06
0.5     	0.5     	1.929e-06
0.5     	0.55    	1.931e-06
0.5     	0.6     	1.9328e-06
0.5     	0.65    	1.9345e-06
0.5     	0.7     	1.936e-06
0.55    	0       	2.8522e-08
0.55    	0.05    	1.2254e-06
0.55    	0.1     	2.1113e-06
0.55    	0.15    	2.5867e-06
0.55    	0.2     	2.7659e-06
0.55    	0.25    	2.8179e-06
0.55    	0.3     	2.8342e-06
0.55    	0.35    	2.8412e-06
0.55    	0.4     	2.8456e-06
0.55    	0.45    	2.849e-06
0.55    	0.5     	2.8519e-06
0.55    	0.55    	2.8545e-06
0.55    	0.6     	2.8567e-06
0.55    	0.65    	2.8588e-06
0.55    	0.7     	2.8606e-06
0.6     	0       	3.2299e-08
0.6     	0.05    	1.4336e-06
0.6     	0.1     	2.5714e-06
0.6     	0.15    	3.3038e-06
0.6     	0.2     	3.6565e-06
0.6     	0.25    	3.7788e-06
0.6     	0.3     	3.8175e-06
0.6     	0.35    	3.8314e-06
0.6     	0.4     	3.8383e-06
0.6     	0.45    	3.8429e-06
0.6     	0.5     	3.8465e-06
0.6     	0.55    	3.8496e-06
0.6     	0.6     	3.8523e-06
0.6     	0.65    	3.8547e-06
0.6     	0.7     	3.8569e-06
0.65    	0       	3.5526e-08
0.65    	0.05    	1.6076e-06
0.65    	0.1     	2.9574e-06
0.65    	0.15    	3.9339e-06
0.65    	0.2     	4.4983e-06
0.65    	0.25    	4.7474e-06
0.65    	0.3     	4.8333e-06
0.65    	0.35    	4.863e-06
0.65    	0.4     	4.8751e-06
0.65    	0.45    	4.8818e-06
0.65    	0.5     	4.8864e-06
0.65    	0.55    	4.8901e-06
0.65    	0.6     	4.8933e-06
0.65    	0.65    	4.8961e-06
0.65    	0.7     	4.8986e-06
0.7     	0       	3.8327e-08
0.7     	0.05    	1.7553e-06
0.7     	0.1     	3.2828e-06
0.7     	0.15    	4.4736e-06
0.7     	0.2     	5.2618e-06
0.7     	0.25    	5.6807e-06
0.7     	0.3     	5.8505e-06
0.7     	0.35    	5.9125e-06
0.7     	0.4     	5.936e-06
0.7     	0.45    	5.9467e-06
0.7     	0.5     	5.953e-06
0.7     	0.55    	5.9576e-06
0.7     	0.6     	5.9613e-06
0.7     	0.65    	5.9648e-06
0.7     	0.7     	5.9677e-06
