vg      	vd      	ids     
0       	0       	-1.2483e-13
0       	0.05    	2.3298e-09
0       	0.1     	2.7257e-09
0       	0.15    	2.8287e-09
0       	0.2     	2.8838e-09
0       	0.25    	2.9282e-09
0       	0.3     	2.9678e-09
0       	0.35    	3.0028e-09
0       	0.4     	3.0341e-09
0       	0.45    	3.0621e-09
0       	0.5     	3.0875e-09
0       	0.55    	3.1107e-09
0       	0.6     	3.1324e-09
0       	0.65    	3.1527e-09
0       	0.7     	3.172e-09
0.05    	0       	-7.7758e-14
0.05    	0.05    	1.4866e-08
0.05    	0.1     	1.7484e-08
0.05    	0.15    	1.8167e-08
0.05    	0.2     	1.8518e-08
0.05    	0.25    	1.8781e-08
0.05    	0.3     	1.9001e-08
0.05    	0.35    	1.9194e-08
0.05    	0.4     	1.9364e-08
0.05    	0.45    	1.952e-08
0.05    	0.5     	1.9665e-08
0.05    	0.55    	1.9801e-08
0.05    	0.6     	1.9931e-08
0.05    	0.65    	2.0055e-08
0.05    	0.7     	2.0173e-08
0.1     	0       	4.6083e-12
0.1     	0.05    	8.7977e-08
0.1     	0.1     	1.0443e-07
0.1     	0.15    	1.0847e-07
0.1     	0.2     	1.1028e-07
0.1     	0.25    	1.1158e-07
0.1     	0.3     	1.1268e-07
0.1     	0.35    	1.1366e-07
0.1     	0.4     	1.1456e-07
0.1     	0.45    	1.154e-07
0.1     	0.5     	1.162e-07
0.1     	0.55    	1.1695e-07
0.1     	0.6     	1.1766e-07
0.1     	0.65    	1.1835e-07
0.1     	0.7     	1.1901e-07
0.15    	0       	4.3656e-11
0.15    	0.05    	3.945e-07
0.15    	0.1     	4.8455e-07
0.15    	0.15    	5.0503e-07
0.15    	0.2     	5.1277e-07
0.15    	0.25    	5.1783e-07
0.15    	0.3     	5.2198e-07
0.15    	0.35    	5.2564e-07
0.15    	0.4     	5.2893e-07
0.15    	0.45    	5.3194e-07
0.15    	0.5     	5.3496e-07
0.15    	0.55    	5.3751e-07
0.15    	0.6     	5.3987e-07
0.15    	0.65    	5.4207e-07
0.15    	0.7     	5.4412e-07
0.2     	0       	1.617e-10
0.2     	0.05    	1.0714e-06
0.2     	0.1     	1.4419e-06
0.2     	0.15    	1.5296e-06
0.2     	0.2     	1.5539e-06
0.2     	0.25    	1.5665e-06
0.2     	0.3     	1.5743e-06
0.2     	0.35    	1.5806e-06
0.2     	0.4     	1.5861e-06
0.2     	0.45    	1.591e-06
0.2     	0.5     	1.5954e-06
0.2     	0.55    	1.5994e-06
0.2     	0.6     	1.6031e-06
0.2     	0.65    	1.6069e-06
0.2     	0.7     	1.6102e-06
0.25    	0       	3.2971e-10
0.25    	0.05    	1.8571e-06
0.25    	0.1     	2.8237e-06
0.25    	0.15    	3.1389e-06
0.25    	0.2     	3.2196e-06
0.25    	0.25    	3.2441e-06
0.25    	0.3     	3.2568e-06
0.25    	0.35    	3.2659e-06
0.25    	0.4     	3.2742e-06
0.25    	0.45    	3.2806e-06
0.25    	0.5     	3.2862e-06
0.25    	0.55    	3.2913e-06
0.25    	0.6     	3.296e-06
0.25    	0.65    	3.3007e-06
0.25    	0.7     	3.3047e-06
0.3     	0       	5.1239e-10
0.3     	0.05    	2.4918e-06
0.3     	0.1     	4.1868e-06
0.3     	0.15    	5.0049e-06
0.3     	0.2     	5.2547e-06
0.3     	0.25    	5.3207e-06
0.3     	0.3     	5.3462e-06
0.3     	0.35    	5.359e-06
0.3     	0.4     	5.3682e-06
0.3     	0.45    	5.3765e-06
0.3     	0.5     	5.3829e-06
0.3     	0.55    	5.3884e-06
0.3     	0.6     	5.3934e-06
0.3     	0.65    	5.3984e-06
0.3     	0.7     	5.4026e-06
0.35    	0       	6.9303e-10
0.35    	0.05    	2.9423e-06
0.35    	0.1     	5.2537e-06
0.35    	0.15    	6.6933e-06
0.35    	0.2     	7.3667e-06
0.35    	0.25    	7.5724e-06
0.35    	0.3     	7.6342e-06
0.35    	0.35    	7.6582e-06
0.35    	0.4     	7.6707e-06
0.35    	0.45    	7.6797e-06
0.35    	0.5     	7.6875e-06
0.35    	0.55    	7.6936e-06
0.35    	0.6     	7.6988e-06
0.35    	0.65    	7.7039e-06
0.35    	0.7     	7.7081e-06
0.4     	0       	8.6941e-10
0.4     	0.05    	3.2579e-06
0.4     	0.1     	6.0099e-06
0.4     	0.15    	8.0016e-06
0.4     	0.2     	9.2312e-06
0.4     	0.25    	9.7716e-06
0.4     	0.3     	9.951e-06
0.4     	0.35    	1.0004e-05
0.4     	0.4     	1.0027e-05
0.4     	0.45    	1.0039e-05
0.4     	0.5     	1.0048e-05
0.4     	0.55    	1.0055e-05
0.4     	0.6     	1.006e-05
0.4     	0.65    	1.0066e-05
0.4     	0.7     	1.007e-05
0.45    	0       	1.0426e-09
0.45    	0.05    	3.4877e-06
0.45    	0.1     	6.5436e-06
0.45    	0.15    	8.9245e-06
0.45    	0.2     	1.0632e-05
0.45    	0.25    	1.1626e-05
0.45    	0.3     	1.2087e-05
0.45    	0.35    	1.2256e-05
0.45    	0.4     	1.2313e-05
0.45    	0.45    	1.2336e-05
0.45    	0.5     	1.2348e-05
0.45    	0.55    	1.2357e-05
0.45    	0.6     	1.2363e-05
0.45    	0.65    	1.2368e-05
0.45    	0.7     	1.2372e-05
0.5     	0       	1.2081e-09
0.5     	0.05    	3.6583e-06
0.5     	0.1     	6.9285e-06
0.5     	0.15    	9.5698e-06
0.5     	0.2     	1.1597e-05
0.5     	0.25    	1.2962e-05
0.5     	0.3     	1.3781e-05
0.5     	0.35    	1.4214e-05
0.5     	0.4     	1.4387e-05
0.5     	0.45    	1.4451e-05
0.5     	0.5     	1.4479e-05
0.5     	0.55    	1.4493e-05
0.5     	0.6     	1.4501e-05
0.5     	0.65    	1.4507e-05
0.5     	0.7     	1.4511e-05
0.55    	0       	1.3715e-09
0.55    	0.05    	3.7828e-06
0.55    	0.1     	7.211e-06
0.55    	0.15    	1.003e-05
0.55    	0.2     	1.2255e-05
0.55    	0.25    	1.3849e-05
0.55    	0.3     	1.493e-05
0.55    	0.35    	1.5643e-05
0.55    	0.4     	1.6042e-05
0.55    	0.45    	1.6233e-05
0.55    	0.5     	1.6321e-05
0.55    	0.55    	1.6358e-05
0.55    	0.6     	1.6377e-05
0.55    	0.65    	1.6387e-05
0.55    	0.7     	1.6391e-05
0.6     	0       	1.5308e-09
0.6     	0.05    	3.8723e-06
0.6     	0.1     	7.4081e-06
0.6     	0.15    	1.0362e-05
0.6     	0.2     	1.2725e-05
0.6     	0.25    	1.4373e-05
0.6     	0.3     	1.5685e-05
0.6     	0.35    	1.6534e-05
0.6     	0.4     	1.713e-05
0.6     	0.45    	1.749e-05
0.6     	0.5     	1.7699e-05
0.6     	0.55    	1.7814e-05
0.6     	0.6     	1.7864e-05
0.6     	0.65    	1.7882e-05
0.6     	0.7     	1.7888e-05
0.65    	0       	1.6842e-09
0.65    	0.05    	3.9444e-06
0.65    	0.1     	7.5433e-06
0.65    	0.15    	1.0584e-05
0.65    	0.2     	1.3043e-05
0.65    	0.25    	1.4791e-05
0.65    	0.3     	1.6127e-05
0.65    	0.35    	1.713e-05
0.65    	0.4     	1.7792e-05
0.65    	0.45    	1.823e-05
0.65    	0.5     	1.8498e-05
0.65    	0.55    	1.8641e-05
0.65    	0.6     	1.8698e-05
0.65    	0.65    	1.8723e-05
0.65    	0.7     	1.8731e-05
0.7     	0       	1.8337e-09
0.7     	0.05    	3.9837e-06
0.7     	0.1     	7.6336e-06
0.7     	0.15    	1.0752e-05
0.7     	0.2     	1.3282e-05
0.7     	0.25    	1.5093e-05
0.7     	0.3     	1.6498e-05
0.7     	0.35    	1.751e-05
0.7     	0.4     	1.8232e-05
0.7     	0.45    	1.8717e-05
0.7     	0.5     	1.8997e-05
0.7     	0.55    	1.9135e-05
0.7     	0.6     	1.9186e-05
0.7     	0.65    	1.9209e-05
0.7     	0.7     	1.9221e-05
