vg      	vd      	ids     
0       	0       	5.9346e-13
0       	0.05    	1.7339e-10
0       	0.1     	2.1683e-10
0       	0.15    	2.3994e-10
0       	0.2     	2.5973e-10
0       	0.25    	2.7741e-10
0       	0.3     	2.9227e-10
0       	0.35    	3.0607e-10
0       	0.4     	3.1962e-10
0       	0.45    	3.3311e-10
0       	0.5     	3.4662e-10
0       	0.55    	3.602e-10
0       	0.6     	3.7389e-10
0       	0.65    	3.8769e-10
0       	0.7     	4.016e-10
0.05    	0       	2.9751e-12
0.05    	0.05    	9.7147e-10
0.05    	0.1     	1.2236e-09
0.05    	0.15    	1.3578e-09
0.05    	0.2     	1.4627e-09
0.05    	0.25    	1.5474e-09
0.05    	0.3     	1.626e-09
0.05    	0.35    	1.7034e-09
0.05    	0.4     	1.7806e-09
0.05    	0.45    	1.8578e-09
0.05    	0.5     	1.9351e-09
0.05    	0.55    	2.0128e-09
0.05    	0.6     	2.0909e-09
0.05    	0.65    	2.1697e-09
0.05    	0.7     	2.2491e-09
0.1     	0       	1.569e-11
0.1     	0.05    	5.2952e-09
0.1     	0.1     	6.7084e-09
0.1     	0.15    	7.4111e-09
0.1     	0.2     	7.8993e-09
0.1     	0.25    	8.3374e-09
0.1     	0.3     	8.7649e-09
0.1     	0.35    	9.1899e-09
0.1     	0.4     	9.6151e-09
0.1     	0.45    	1.0041e-08
0.1     	0.5     	1.0467e-08
0.1     	0.55    	1.0894e-08
0.1     	0.6     	1.1322e-08
0.1     	0.65    	1.1752e-08
0.1     	0.7     	1.2184e-08
0.15    	0       	7.4497e-11
0.15    	0.05    	2.6866e-08
0.15    	0.1     	3.4108e-08
0.15    	0.15    	3.7209e-08
0.15    	0.2     	3.9539e-08
0.15    	0.25    	4.1715e-08
0.15    	0.3     	4.3842e-08
0.15    	0.35    	4.5944e-08
0.15    	0.4     	4.8033e-08
0.15    	0.45    	5.011e-08
0.15    	0.5     	5.2168e-08
0.15    	0.55    	5.4196e-08
0.15    	0.6     	5.6165e-08
0.15    	0.65    	5.8022e-08
0.15    	0.7     	5.9702e-08
0.2     	0       	2.6903e-10
0.2     	0.05    	1.1329e-07
0.2     	0.1     	1.4444e-07
0.2     	0.15    	1.5708e-07
0.2     	0.2     	1.6621e-07
0.2     	0.25    	1.7448e-07
0.2     	0.3     	1.8226e-07
0.2     	0.35    	1.8946e-07
0.2     	0.4     	1.9576e-07
0.2     	0.45    	2.0119e-07
0.2     	0.5     	2.0611e-07
0.2     	0.55    	2.1076e-07
0.2     	0.6     	2.1523e-07
0.2     	0.65    	2.1956e-07
0.2     	0.7     	2.238e-07
0.25    	0       	6.3417e-10
0.25    	0.05    	3.3495e-07
0.25    	0.1     	4.4267e-07
0.25    	0.15    	4.807e-07
0.25    	0.2     	5.0214e-07
0.25    	0.25    	5.1768e-07
0.25    	0.3     	5.306e-07
0.25    	0.35    	5.4228e-07
0.25    	0.4     	5.5319e-07
0.25    	0.45    	5.6356e-07
0.25    	0.5     	5.7349e-07
0.25    	0.55    	5.8305e-07
0.25    	0.6     	5.9228e-07
0.25    	0.65    	6.0119e-07
0.25    	0.7     	6.0983e-07
0.3     	0       	1.1342e-09
0.3     	0.05    	6.7223e-07
0.3     	0.1     	9.4581e-07
0.3     	0.15    	1.0303e-06
0.3     	0.2     	1.0654e-06
0.3     	0.25    	1.0886e-06
0.3     	0.3     	1.108e-06
0.3     	0.35    	1.128e-06
0.3     	0.4     	1.1443e-06
0.3     	0.45    	1.1594e-06
0.3     	0.5     	1.1735e-06
0.3     	0.55    	1.1866e-06
0.3     	0.6     	1.1987e-06
0.3     	0.65    	1.2098e-06
0.3     	0.7     	1.22e-06
0.35    	0       	1.5501e-09
0.35    	0.05    	1.0238e-06
0.35    	0.1     	1.5563e-06
0.35    	0.15    	1.7371e-06
0.35    	0.2     	1.7986e-06
0.35    	0.25    	1.8313e-06
0.35    	0.3     	1.8585e-06
0.35    	0.35    	1.8789e-06
0.35    	0.4     	1.8966e-06
0.35    	0.45    	1.9122e-06
0.35    	0.5     	1.9263e-06
0.35    	0.55    	1.9392e-06
0.35    	0.6     	1.9511e-06
0.35    	0.65    	1.9622e-06
0.35    	0.7     	1.9741e-06
0.4     	0       	1.8869e-09
0.4     	0.05    	1.326e-06
0.4     	0.1     	2.1709e-06
0.4     	0.15    	2.5122e-06
0.4     	0.2     	2.6275e-06
0.4     	0.25    	2.6729e-06
0.4     	0.3     	2.7006e-06
0.4     	0.35    	2.7248e-06
0.4     	0.4     	2.7432e-06
0.4     	0.45    	2.7594e-06
0.4     	0.5     	2.7743e-06
0.4     	0.55    	2.788e-06
