vg      	vd      	ids     
0       	0       	2.03e-11
0       	0.05    	8.1868e-09
0       	0.1     	9.4589e-09
0       	0.15    	9.7004e-09
0       	0.2     	9.7823e-09
0       	0.25    	9.835e-09
0       	0.3     	9.879e-09
0       	0.35    	9.9181e-09
0       	0.4     	9.9538e-09
0       	0.45    	9.9862e-09
0       	0.5     	1.0016e-08
0       	0.55    	1.0044e-08
0       	0.6     	1.007e-08
0       	0.65    	1.0094e-08
0       	0.7     	1.0118e-08
0.05    	0       	1.3276e-10
0.05    	0.05    	5.245e-08
0.05    	0.1     	6.0968e-08
0.05    	0.15    	6.2597e-08
0.05    	0.2     	6.3143e-08
0.05    	0.25    	6.3485e-08
0.05    	0.3     	6.3764e-08
0.05    	0.35    	6.4009e-08
0.05    	0.4     	6.4227e-08
0.05    	0.45    	6.4425e-08
0.05    	0.5     	6.4606e-08
0.05    	0.55    	6.4773e-08
0.05    	0.6     	6.4928e-08
0.05    	0.65    	6.5073e-08
0.05    	0.7     	6.5209e-08
0.1     	0       	6.572e-10
0.1     	0.05    	2.8055e-07
0.1     	0.1     	3.3396e-07
0.1     	0.15    	3.4422e-07
0.1     	0.2     	3.4732e-07
0.1     	0.25    	3.4907e-07
0.1     	0.3     	3.5043e-07
0.1     	0.35    	3.5158e-07
0.1     	0.4     	3.526e-07
0.1     	0.45    	3.535e-07
0.1     	0.5     	3.543e-07
0.1     	0.55    	3.5505e-07
0.1     	0.6     	3.5573e-07
0.1     	0.65    	3.5636e-07
0.1     	0.7     	3.5694e-07
0.15    	0       	1.8663e-09
0.15    	0.05    	9.5798e-07
0.15    	0.1     	1.218e-06
0.15    	0.15    	1.2707e-06
0.15    	0.2     	1.2841e-06
0.15    	0.25    	1.2902e-06
0.15    	0.3     	1.2944e-06
0.15    	0.35    	1.2978e-06
0.15    	0.4     	1.3007e-06
0.15    	0.45    	1.3032e-06
0.15    	0.5     	1.3054e-06
0.15    	0.55    	1.3074e-06
0.15    	0.6     	1.3093e-06
0.15    	0.65    	1.3111e-06
0.15    	0.7     	1.3126e-06
0.2     	0       	3.329e-09
0.2     	0.05    	1.9983e-06
0.2     	0.1     	2.803e-06
0.2     	0.15    	3.0081e-06
0.2     	0.2     	3.0554e-06
0.2     	0.25    	3.072e-06
