vg      	vd      	ids     
0       	0       	2.0542e-10
0       	0.05    	3.4791e-08
0       	0.1     	4.7808e-08
0       	0.15    	5.5595e-08
0       	0.2     	6.2864e-08
0       	0.25    	7.0568e-08
0       	0.3     	7.8909e-08
0       	0.35    	8.7962e-08
0       	0.4     	9.7718e-08
0       	0.45    	1.0777e-07
0       	0.5     	1.17e-07
0       	0.55    	1.2567e-07
0       	0.6     	1.345e-07
0       	0.65    	1.4368e-07
0       	0.7     	1.5325e-07
0.05    	0       	8.1564e-10
0.05    	0.05    	1.3934e-07
0.05    	0.1     	1.887e-07
0.05    	0.15    	2.1832e-07
0.05    	0.2     	2.4582e-07
0.05    	0.25    	2.7428e-07
0.05    	0.3     	3.0373e-07
0.05    	0.35    	3.3123e-07
0.05    	0.4     	3.5594e-07
0.05    	0.45    	3.8046e-07
0.05    	0.5     	4.0564e-07
0.05    	0.55    	4.3171e-07
0.05    	0.6     	4.5874e-07
0.05    	0.65    	4.8674e-07
0.05    	0.7     	5.1566e-07
0.1     	0       	2.5767e-09
0.1     	0.05    	4.7063e-07
0.1     	0.1     	6.3649e-07
0.1     	0.15    	7.3037e-07
0.1     	0.2     	8.082e-07
0.1     	0.25    	8.7348e-07
0.1     	0.3     	9.3167e-07
0.1     	0.35    	9.8899e-07
0.1     	0.4     	1.0469e-06
0.1     	0.45    	1.1058e-06
0.1     	0.5     	1.1658e-06
0.1     	0.55    	1.2266e-06
0.1     	0.6     	1.2877e-06
0.1     	0.65    	1.3474e-06
0.1     	0.7     	1.4039e-06
0.15    	0       	6.185e-09
0.15    	0.05    	1.2298e-06
0.15    	0.1     	1.681e-06
0.15    	0.15    	1.8849e-06
0.15    	0.2     	2.0145e-06
0.15    	0.25    	2.1261e-06
0.15    	0.3     	2.2328e-06
0.15    	0.35    	2.3369e-06
0.15    	0.4     	2.4381e-06
0.15    	0.45    	2.534e-06
0.15    	0.5     	2.6232e-06
0.15    	0.55    	2.7054e-06
0.15    	0.6     	2.7819e-06
0.15    	0.65    	2.8551e-06
0.15    	0.7     	2.9329e-06
0.2     	0       	1.1497e-08
0.2     	0.05    	2.4771e-06
0.2     	0.1     	3.4239e-06
0.2     	0.15    	3.7708e-06
0.2     	0.2     	3.9728e-06
0.2     	0.25    	4.1501e-06
0.2     	0.3     	4.2943e-06
0.2     	0.35    	4.4227e-06
0.2     	0.4     	4.5378e-06
0.2     	0.45    	4.6442e-06
0.2     	0.5     	4.746e-06
0.2     	0.55    	4.8452e-06
0.2     	0.6     	4.9426e-06
0.2     	0.65    	5.0386e-06
0.2     	0.7     	5.1422e-06
0.25    	0       	1.7785e-08
0.25    	0.05    	4.0821e-06
0.25    	0.1     	5.756e-06
0.25    	0.15    	6.3398e-06
0.25    	0.2     	6.6136e-06
0.25    	0.25    	6.8035e-06
0.25    	0.3     	6.9744e-06
0.25    	0.35    	7.1138e-06
0.25    	0.4     	7.2444e-06
0.25    	0.45    	7.3698e-06
0.25    	0.5     	7.4914e-06
0.25    	0.55    	7.6101e-06
0.25    	0.6     	7.726e-06
0.25    	0.65    	7.8394e-06
0.25    	0.7     	7.9498e-06
0.3     	0       	2.42e-08
0.3     	0.05    	5.8717e-06
0.3     	0.1     	8.5215e-06
0.3     	0.15    	9.4285e-06
0.3     	0.2     	9.7765e-06
0.3     	0.25    	9.9907e-06
0.3     	0.3     	1.0165e-05
0.3     	0.35    	1.0321e-05
0.3     	0.4     	1.0484e-05
0.3     	0.45    	1.0624e-05
0.3     	0.5     	1.0758e-05
0.3     	0.55    	1.0887e-05
0.3     	0.6     	1.101e-05
0.3     	0.65    	1.1128e-05
0.3     	0.7     	1.124e-05
0.35    	0       	3.0723e-08
0.35    	0.05    	7.7089e-06
0.35    	0.1     	1.1567e-05
0.35    	0.15    	1.2887e-05
0.35    	0.2     	1.3368e-05
0.35    	0.25    	1.3619e-05
0.35    	0.3     	1.3812e-05
0.35    	0.35    	1.3981e-05
0.35    	0.4     	1.4135e-05
0.35    	0.45    	1.428e-05
0.35    	0.5     	1.4414e-05
0.35    	0.55    	1.4554e-05
0.35    	0.6     	1.4673e-05
0.35    	0.65    	1.4784e-05
0.35    	0.7     	1.489e-05
0.4     	0       	3.7221e-08
0.4     	0.05    	9.5022e-06
0.4     	0.1     	1.4763e-05
0.4     	0.15    	1.6645e-05
0.4     	0.2     	1.7286e-05
0.4     	0.25    	1.7583e-05
0.4     	0.3     	1.7812e-05
0.4     	0.35    	1.7986e-05
0.4     	0.4     	1.8139e-05
0.4     	0.45    	1.8279e-05
0.4     	0.5     	1.8409e-05
0.4     	0.55    	1.8531e-05
0.4     	0.6     	1.8646e-05
0.4     	0.65    	1.8757e-05
0.4     	0.7     	1.8864e-05
0.45    	0       	4.308e-08
0.45    	0.05    	1.1198e-05
0.45    	0.1     	1.7995e-05
0.45    	0.15    	2.0617e-05
0.45    	0.2     	2.1481e-05
0.45    	0.25    	2.1862e-05
0.45    	0.3     	2.2086e-05
0.45    	0.35    	2.2262e-05
0.45    	0.4     	2.2416e-05
0.45    	0.45    	2.2556e-05
0.45    	0.5     	2.2686e-05
0.45    	0.55    	2.2822e-05
0.45    	0.6     	2.2941e-05
0.45    	0.65    	2.3055e-05
0.45    	0.7     	2.3164e-05
0.5     	0       	4.8479e-08
0.5     	0.05    	1.2771e-05
0.5     	0.1     	2.1169e-05
0.5     	0.15    	2.4719e-05
0.5     	0.2     	2.5927e-05
0.5     	0.25    	2.6366e-05
0.5     	0.3     	2.6613e-05
0.5     	0.35    	2.6816e-05
0.5     	0.4     	2.6975e-05
0.5     	0.45    	2.7118e-05
0.5     	0.5     	2.725e-05
0.5     	0.55    	2.7376e-05
0.5     	0.6     	2.7496e-05
0.5     	0.65    	2.7611e-05
0.5     	0.7     	2.7723e-05
0.55    	0       	5.3366e-08
0.55    	0.05    	1.4213e-05
0.55    	0.1     	2.4212e-05
0.55    	0.15    	2.887e-05
0.55    	0.2     	3.0515e-05
0.55    	0.25    	3.1079e-05
0.55    	0.3     	3.1385e-05
0.55    	0.35    	3.1586e-05
0.55    	0.4     	3.175e-05
0.55    	0.45    	3.1896e-05
0.55    	0.5     	3.2032e-05
0.55    	0.55    	3.2159e-05
