vg      	vd      	ids     
0       	0       	6.1168e-11
0       	0.05    	9.0599e-09
0       	0.1     	1.0802e-08
0       	0.15    	1.1366e-08
0       	0.2     	1.1705e-08
0       	0.25    	1.1981e-08
0       	0.3     	1.223e-08
0       	0.35    	1.2462e-08
0       	0.4     	1.2683e-08
0       	0.45    	1.2895e-08
0       	0.5     	1.3099e-08
0       	0.55    	1.3297e-08
0       	0.6     	1.3488e-08
0       	0.65    	1.3673e-08
0       	0.7     	1.3852e-08
0.05    	0       	3.6019e-10
0.05    	0.05    	5.3393e-08
0.05    	0.1     	6.3866e-08
0.05    	0.15    	6.7076e-08
0.05    	0.2     	6.8953e-08
0.05    	0.25    	7.0515e-08
0.05    	0.3     	7.195e-08
0.05    	0.35    	7.3298e-08
0.05    	0.4     	7.4577e-08
0.05    	0.45    	7.5795e-08
0.05    	0.5     	7.6958e-08
0.05    	0.55    	7.8066e-08
0.05    	0.6     	7.9118e-08
0.05    	0.65    	8.0111e-08
0.05    	0.7     	8.1045e-08
0.1     	0       	1.6994e-09
0.1     	0.05    	2.6965e-07
0.1     	0.1     	3.2733e-07
0.1     	0.15    	3.4362e-07
0.1     	0.2     	3.5236e-07
0.1     	0.25    	3.5929e-07
0.1     	0.3     	3.6538e-07
0.1     	0.35    	3.7081e-07
0.1     	0.4     	3.7568e-07
0.1     	0.45    	3.8007e-07
0.1     	0.5     	3.8411e-07
0.1     	0.55    	3.8785e-07
0.1     	0.6     	3.9137e-07
0.1     	0.65    	3.9469e-07
0.1     	0.7     	3.9784e-07
0.15    	0       	5.1055e-09
0.15    	0.05    	9.4627e-07
0.15    	0.1     	1.1946e-06
0.15    	0.15    	1.2565e-06
0.15    	0.2     	1.2815e-06
0.15    	0.25    	1.2981e-06
0.15    	0.3     	1.3119e-06
0.15    	0.35    	1.3242e-06
0.15    	0.4     	1.3354e-06
0.15    	0.45    	1.3456e-06
0.15    	0.5     	1.355e-06
0.15    	0.55    	1.3638e-06
0.15    	0.6     	1.372e-06
0.15    	0.65    	1.3797e-06
0.15    	0.7     	1.3868e-06
0.2     	0       	9.8542e-09
0.2     	0.05    	2.1397e-06
0.2     	0.1     	2.8782e-06
0.2     	0.15    	3.0679e-06
0.2     	0.2     	3.1247e-06
0.2     	0.25    	3.154e-06
0.2     	0.3     	3.1758e-06
0.2     	0.35    	3.1942e-06
0.2     	0.4     	3.2105e-06
0.2     	0.45    	3.2251e-06
0.2     	0.5     	3.2384e-06
0.2     	0.55    	3.2505e-06
0.2     	0.6     	3.2618e-06
0.2     	0.65    	3.2736e-06
0.2     	0.7     	3.2835e-06
0.25    	0       	1.4573e-08
0.25    	0.05    	3.5566e-06
0.25    	0.1     	5.1511e-06
0.25    	0.15    	5.6195e-06
0.25    	0.2     	5.7501e-06
0.25    	0.25    	5.799e-06
0.25    	0.3     	5.8292e-06
0.25    	0.35    	5.853e-06
0.25    	0.4     	5.8734e-06
0.25    	0.45    	5.8914e-06
0.25    	0.5     	5.9096e-06
0.25    	0.55    	5.9243e-06
0.25    	0.6     	5.9376e-06
0.25    	0.65    	5.9498e-06
0.25    	0.7     	5.9612e-06
0.3     	0       	1.9028e-08
0.3     	0.05    	4.9432e-06
0.3     	0.1     	7.684e-06
0.3     	0.15    	8.6788e-06
0.3     	0.2     	8.9496e-06
0.3     	0.25    	9.0341e-06
0.3     	0.3     	9.0764e-06
0.3     	0.35    	9.1063e-06
0.3     	0.4     	9.1306e-06
0.3     	0.45    	9.154e-06
0.3     	0.5     	9.1726e-06
0.3     	0.55    	9.189e-06
0.3     	0.6     	9.2038e-06
0.3     	0.65    	9.2173e-06
0.3     	0.7     	9.2298e-06
0.35    	0       	2.3075e-08
0.35    	0.05    	6.1766e-06
0.35    	0.1     	1.02e-05
0.35    	0.15    	1.1998e-05
0.35    	0.2     	1.2542e-05
0.35    	0.25    	1.2706e-05
0.35    	0.3     	1.277e-05
0.35    	0.35    	1.2808e-05
0.35    	0.4     	1.2837e-05
0.35    	0.45    	1.2861e-05
0.35    	0.5     	1.2881e-05
0.35    	0.55    	1.2902e-05
0.35    	0.6     	1.2918e-05
0.35    	0.65    	1.2933e-05
0.35    	0.7     	1.2946e-05
0.4     	0       	2.6843e-08
0.4     	0.05    	7.2242e-06
0.4     	0.1     	1.2509e-05
0.4     	0.15    	1.5357e-05
0.4     	0.2     	1.6381e-05
0.4     	0.25    	1.669e-05
0.4     	0.3     	1.68e-05
0.4     	0.35    	1.6852e-05
0.4     	0.4     	1.6887e-05
0.4     	0.45    	1.6915e-05
0.4     	0.5     	1.6938e-05
0.4     	0.55    	1.6958e-05
0.4     	0.6     	1.6978e-05
0.4     	0.65    	1.6994e-05
0.4     	0.7     	1.7008e-05
0.45    	0       	3.0196e-08
0.45    	0.05    	8.1012e-06
0.45    	0.1     	1.452e-05
0.45    	0.15    	1.8491e-05
0.45    	0.2     	2.0298e-05
0.45    	0.25    	2.0893e-05
0.45    	0.3     	2.1074e-05
0.45    	0.35    	2.1149e-05
0.45    	0.4     	2.1197e-05
0.45    	0.45    	2.1231e-05
0.45    	0.5     	2.1257e-05
0.45    	0.55    	2.1279e-05
0.45    	0.6     	2.1298e-05
0.45    	0.65    	2.1317e-05
0.45    	0.7     	2.1332e-05
0.5     	0       	3.33e-08
0.5     	0.05    	8.8367e-06
0.5     	0.1     	1.6218e-05
0.5     	0.15    	2.1337e-05
0.5     	0.2     	2.4102e-05
0.5     	0.25    	2.5167e-05
0.5     	0.3     	2.5508e-05
