vg      	vd      	ids     
0       	0       	5.3897e-14
0       	0.05    	1.4242e-11
0       	0.1     	1.6697e-11
0       	0.15    	1.738e-11
0       	0.2     	1.7785e-11
0       	0.25    	1.8135e-11
0       	0.3     	1.846e-11
0       	0.35    	1.8762e-11
0       	0.4     	1.904e-11
0       	0.45    	1.9294e-11
0       	0.5     	1.9527e-11
0       	0.55    	1.9742e-11
0       	0.6     	1.9944e-11
0       	0.65    	2.0135e-11
0       	0.7     	2.032e-11
0.05    	0       	3.3247e-13
0.05    	0.05    	9.2576e-11
0.05    	0.1     	1.0874e-10
0.05    	0.15    	1.133e-10
0.05    	0.2     	1.1601e-10
0.05    	0.25    	1.183e-10
0.05    	0.3     	1.2037e-10
0.05    	0.35    	1.2223e-10
0.05    	0.4     	1.239e-10
0.05    	0.45    	1.2542e-10
0.05    	0.5     	1.2683e-10
0.05    	0.55    	1.2817e-10
0.05    	0.6     	1.2944e-10
0.05    	0.65    	1.3067e-10
0.05    	0.7     	1.3186e-10
0.1     	0       	1.6534e-12
0.1     	0.05    	6.0349e-10
0.1     	0.1     	7.0933e-10
0.1     	0.15    	7.3966e-10
0.1     	0.2     	7.5734e-10
0.1     	0.25    	7.7172e-10
0.1     	0.3     	7.8425e-10
0.1     	0.35    	7.9539e-10
0.1     	0.4     	8.0552e-10
0.1     	0.45    	8.1495e-10
0.1     	0.5     	8.2387e-10
0.1     	0.55    	8.3241e-10
0.1     	0.6     	8.4067e-10
0.1     	0.65    	8.4867e-10
0.1     	0.7     	8.5646e-10
0.15    	0       	1.1921e-11
0.15    	0.05    	3.8149e-09
0.15    	0.1     	4.5051e-09
0.15    	0.15    	4.6993e-09
0.15    	0.2     	4.8066e-09
0.15    	0.25    	4.89e-09
0.15    	0.3     	4.9627e-09
0.15    	0.35    	5.029e-09
0.15    	0.4     	5.0909e-09
0.15    	0.45    	5.1496e-09
0.15    	0.5     	5.2056e-09
0.15    	0.55    	5.2596e-09
0.15    	0.6     	5.3118e-09
0.15    	0.65    	5.3626e-09
0.15    	0.7     	5.4121e-09
0.2     	0       	6.8461e-11
0.2     	0.05    	2.3074e-08
0.2     	0.1     	2.736e-08
0.2     	0.15    	2.8513e-08
0.2     	0.2     	2.9106e-08
0.2     	0.25    	2.9567e-08
0.2     	0.3     	2.9979e-08
0.2     	0.35    	3.0362e-08
0.2     	0.4     	3.0724e-08
0.2     	0.45    	3.1069e-08
0.2     	0.5     	3.1398e-08
0.2     	0.55    	3.1714e-08
0.2     	0.6     	3.2018e-08
0.2     	0.65    	3.2312e-08
0.2     	0.7     	3.2596e-08
0.25    	0       	3.0916e-10
0.25    	0.05    	1.1611e-07
0.25    	0.1     	1.4055e-07
0.25    	0.15    	1.4657e-07
0.25    	0.2     	1.4933e-07
0.25    	0.25    	1.5138e-07
0.25    	0.3     	1.5317e-07
0.25    	0.35    	1.5479e-07
0.25    	0.4     	1.5627e-07
0.25    	0.45    	1.5763e-07
0.25    	0.5     	1.5887e-07
0.25    	0.55    	1.6001e-07
0.25    	0.6     	1.6107e-07
0.25    	0.65    	1.6205e-07
0.25    	0.7     	1.6297e-07
0.3     	0       	8.3264e-10
0.3     	0.05    	3.8195e-07
0.3     	0.1     	4.9026e-07
0.3     	0.15    	5.1521e-07
0.3     	0.2     	5.2354e-07
0.3     	0.25    	5.2844e-07
0.3     	0.3     	5.3231e-07
0.3     	0.35    	5.3565e-07
0.3     	0.4     	5.3865e-07
0.3     	0.45    	5.4139e-07
0.3     	0.5     	5.4393e-07
0.3     	0.55    	5.4629e-07
0.3     	0.6     	5.4851e-07
0.3     	0.65    	5.506e-07
0.3     	0.7     	5.5259e-07
0.35    	0       	1.4171e-09
0.35    	0.05    	7.7158e-07
0.35    	0.1     	1.0931e-06
0.35    	0.15    	1.1764e-06
0.35    	0.2     	1.1987e-06
0.35    	0.25    	1.2081e-06
0.35    	0.3     	1.2153e-06
0.35    	0.35    	1.2204e-06
0.35    	0.4     	1.2247e-06
0.35    	0.45    	1.2286e-06
0.35    	0.5     	1.2321e-06
0.35    	0.55    	1.2354e-06
0.35    	0.6     	1.2383e-06
0.35    	0.65    	1.2411e-06
0.35    	0.7     	1.2437e-06
0.4     	0       	1.886e-09
0.4     	0.05    	1.1347e-06
0.4     	0.1     	1.7872e-06
0.4     	0.15    	2.0135e-06
0.4     	0.2     	2.0732e-06
0.4     	0.25    	2.0935e-06
0.4     	0.3     	2.1028e-06
0.4     	0.35    	2.1094e-06
0.4     	0.4     	2.1148e-06
0.4     	0.45    	2.1195e-06
0.4     	0.5     	2.1237e-06
0.4     	0.55    	2.1274e-06
0.4     	0.6     	2.1309e-06
0.4     	0.65    	2.1345e-06
0.4     	0.7     	2.1375e-06
0.45    	0       	2.2441e-09
0.45    	0.05    	1.4158e-06
0.45    	0.1     	2.4133e-06
0.45    	0.15    	2.8915e-06
0.45    	0.2     	3.0425e-06
0.45    	0.25    	3.0847e-06
0.45    	0.3     	3.1018e-06
0.45    	0.35    	3.1108e-06
0.45    	0.4     	3.1174e-06
0.45    	0.45    	3.1229e-06
0.45    	0.5     	3.1276e-06
0.45    	0.55    	3.1319e-06
0.45    	0.6     	3.1361e-06
0.45    	0.65    	3.1397e-06
0.45    	0.7     	3.1429e-06
0.5     	0       	2.5296e-09
0.5     	0.05    	1.627e-06
0.5     	0.1     	2.918e-06
0.5     	0.15    	3.7057e-06
0.5     	0.2     	4.0247e-06
0.5     	0.25    	4.1251e-06
0.5     	0.3     	4.1557e-06
0.5     	0.35    	4.1703e-06
0.5     	0.4     	4.1788e-06
0.5     	0.45    	4.1852e-06
0.5     	0.5     	4.1905e-06
0.5     	0.55    	4.1952e-06
0.5     	0.6     	4.1998e-06
0.5     	0.65    	4.2036e-06
0.5     	0.7     	4.2069e-06
0.55    	0       	2.7694e-09
0.55    	0.05    	1.7896e-06
0.55    	0.1     	3.3036e-06
0.55    	0.15    	4.3881e-06
0.55    	0.2     	4.9465e-06
0.55    	0.25    	5.1608e-06
0.55    	0.3     	5.2289e-06
0.55    	0.35    	5.2522e-06
0.55    	0.4     	5.2647e-06
0.55    	0.45    	5.2726e-06
0.55    	0.5     	5.2786e-06
0.55    	0.55    	5.2837e-06
0.55    	0.6     	5.2885e-06
0.55    	0.65    	5.2925e-06
0.55    	0.7     	5.296e-06
0.6     	0       	2.9773e-09
0.6     	0.05    	1.9185e-06
0.6     	0.1     	3.5986e-06
0.6     	0.15    	4.9216e-06
0.6     	0.2     	5.7174e-06
0.6     	0.25    	6.1358e-06
0.6     	0.3     	6.2851e-06
0.6     	0.35    	6.3307e-06
0.6     	0.4     	6.35e-06
0.6     	0.45    	6.3601e-06
0.6     	0.5     	6.367e-06
0.6     	0.55    	6.3726e-06
0.6     	0.6     	6.3777e-06
0.6     	0.65    	6.3818e-06
0.6     	0.7     	6.3854e-06
0.65    	0       	3.1579e-09
0.65    	0.05    	2.0228e-06
0.65    	0.1     	3.8447e-06
0.65    	0.15    	5.3275e-06
0.65    	0.2     	6.3476e-06
0.65    	0.25    	6.9882e-06
0.65    	0.3     	7.277e-06
0.65    	0.35    	7.3775e-06
0.65    	0.4     	7.4132e-06
0.65    	0.45    	7.4282e-06
0.65    	0.5     	7.4369e-06
0.65    	0.55    	7.4437e-06
0.65    	0.6     	7.4488e-06
0.65    	0.65    	7.453e-06
0.65    	0.7     	7.457e-06
0.7     	0       	3.3183e-09
0.7     	0.05    	2.1086e-06
0.7     	0.1     	4.0253e-06
0.7     	0.15    	5.6377e-06
0.7     	0.2     	6.8321e-06
0.7     	0.25    	7.6761e-06
0.7     	0.3     	8.1319e-06
0.7     	0.35    	8.3504e-06
0.7     	0.4     	8.4275e-06
0.7     	0.45    	8.4568e-06
0.7     	0.5     	8.4705e-06
0.7     	0.55    	8.4783e-06
0.7     	0.6     	8.4839e-06
0.7     	0.65    	8.4888e-06
0.7     	0.7     	8.4926e-06
