vg      	vd      	ids     
0       	0       	9.7276e-19
0       	0.05    	8.6232e-16
0       	0.1     	9.8631e-16
0       	0.15    	1.0049e-15
0       	0.2     	1.008e-15
0       	0.25    	1.0089e-15
0       	0.3     	1.0095e-15
0       	0.35    	1.01e-15
0       	0.4     	1.0104e-15
0       	0.45    	1.0109e-15
0       	0.5     	1.0113e-15
0       	0.55    	1.0116e-15
0       	0.6     	1.012e-15
0       	0.65    	1.0123e-15
0       	0.7     	1.0127e-15
0.05    	0       	9.4905e-18
0.05    	0.05    	5.94e-15
0.05    	0.1     	6.8049e-15
0.05    	0.15    	6.9328e-15
0.05    	0.2     	6.955e-15
0.05    	0.25    	6.9616e-15
0.05    	0.3     	6.9657e-15
0.05    	0.35    	6.9692e-15
0.05    	0.4     	6.9725e-15
0.05    	0.45    	6.9756e-15
0.05    	0.5     	6.9785e-15
0.05    	0.55    	6.9813e-15
0.05    	0.6     	6.9839e-15
0.05    	0.65    	6.9864e-15
0.05    	0.7     	6.9887e-15
0.1     	0       	7.9831e-17
0.1     	0.05    	4.09e-14
0.1     	0.1     	4.686e-14
0.1     	0.15    	4.7754e-14
0.1     	0.2     	4.791e-14
0.1     	0.25    	4.7957e-14
0.1     	0.3     	4.7987e-14
0.1     	0.35    	4.8013e-14
0.1     	0.4     	4.8037e-14
0.1     	0.45    	4.806e-14
0.1     	0.5     	4.8081e-14
0.1     	0.55    	4.8101e-14
0.1     	0.6     	4.812e-14
0.1     	0.65    	4.8138e-14
0.1     	0.7     	4.8155e-14
0.15    	0       	4.6443e-16
0.15    	0.05    	2.8396e-13
0.15    	0.1     	3.2502e-13
0.15    	0.15    	3.3121e-13
0.15    	0.2     	3.3231e-13
0.15    	0.25    	3.3265e-13
0.15    	0.3     	3.3288e-13
0.15    	0.35    	3.3307e-13
0.15    	0.4     	3.3325e-13
0.15    	0.45    	3.3341e-13
0.15    	0.5     	3.3357e-13
0.15    	0.55    	3.3372e-13
0.15    	0.6     	3.3385e-13
0.15    	0.65    	3.3399e-13
0.15    	0.7     	3.3411e-13
0.2     	0       	3.7353e-15
0.2     	0.05    	1.9569e-12
0.2     	0.1     	2.2423e-12
0.2     	0.15    	2.2851e-12
0.2     	0.2     	2.2929e-12
0.2     	0.25    	2.2954e-12
0.2     	0.3     	2.2971e-12
0.2     	0.35    	2.2985e-12
0.2     	0.4     	2.2998e-12
0.2     	0.45    	2.301e-12
0.2     	0.5     	2.3022e-12
0.2     	0.55    	2.3032e-12
0.2     	0.6     	2.3043e-12
0.2     	0.65    	2.3052e-12
0.2     	0.7     	2.3061e-12
0.25    	0       	3.3268e-14
0.25    	0.05    	1.3466e-11
0.25    	0.1     	1.5434e-11
0.25    	0.15    	1.5733e-11
0.25    	0.2     	1.5788e-11
0.25    	0.25    	1.5806e-11
0.25    	0.3     	1.5819e-11
0.25    	0.35    	1.583e-11
0.25    	0.4     	1.5839e-11
0.25    	0.45    	1.5848e-11
0.25    	0.5     	1.5857e-11
0.25    	0.55    	1.5865e-11
0.25    	0.6     	1.5872e-11
0.25    	0.65    	1.5879e-11
0.25    	0.7     	1.5886e-11
0.3     	0       	1.7246e-13
0.3     	0.05    	9.3307e-11
0.3     	0.1     	1.0686e-10
0.3     	0.15    	1.0894e-10
0.3     	0.2     	1.0933e-10
0.3     	0.25    	1.0947e-10
0.3     	0.3     	1.0957e-10
0.3     	0.35    	1.0965e-10
0.3     	0.4     	1.0972e-10
0.3     	0.45    	1.0979e-10
0.3     	0.5     	1.0985e-10
0.3     	0.55    	1.0991e-10
0.3     	0.6     	1.0996e-10
0.3     	0.65    	1.1002e-10
0.3     	0.7     	1.1006e-10
0.35    	0       	1.2903e-12
0.35    	0.05    	6.3999e-10
0.35    	0.1     	7.3417e-10
0.35    	0.15    	7.486e-10
0.35    	0.2     	7.5143e-10
0.35    	0.25    	7.5248e-10
0.35    	0.3     	7.532e-10
0.35    	0.35    	7.5382e-10
0.35    	0.4     	7.5437e-10
0.35    	0.45    	7.5487e-10
0.35    	0.5     	7.5533e-10
0.35    	0.55    	7.5576e-10
0.35    	0.6     	7.5616e-10
0.35    	0.65    	7.5653e-10
0.35    	0.7     	7.5688e-10
0.4     	0       	-1.9173e-11
0.4     	0.05    	4.3257e-09
0.4     	0.1     	4.9733e-09
0.4     	0.15    	5.0747e-09
0.4     	0.2     	5.0952e-09
0.4     	0.25    	5.1031e-09
0.4     	0.3     	5.1086e-09
0.4     	0.35    	5.1132e-09
0.4     	0.4     	5.1173e-09
0.4     	0.45    	5.121e-09
0.4     	0.5     	5.1244e-09
0.4     	0.55    	5.1275e-09
0.4     	0.6     	5.1304e-09
0.4     	0.65    	5.133e-09
0.4     	0.7     	5.1356e-09
0.45    	0       	3.8617e-11
0.45    	0.05    	2.7736e-08
0.45    	0.1     	3.2156e-08
0.45    	0.15    	3.2861e-08
0.45    	0.2     	3.3008e-08
0.45    	0.25    	3.3067e-08
0.45    	0.3     	3.3106e-08
0.45    	0.35    	3.3139e-08
0.45    	0.4     	3.3167e-08
0.45    	0.45    	3.3193e-08
0.45    	0.5     	3.3216e-08
0.45    	0.55    	3.3237e-08
0.45    	0.6     	3.3257e-08
0.45    	0.65    	3.3275e-08
0.45    	0.7     	3.3292e-08
0.5     	0       	1.6661e-10
0.5     	0.05    	1.3518e-07
0.5     	0.1     	1.6349e-07
0.5     	0.15    	1.6833e-07
0.5     	0.2     	1.6931e-07
0.5     	0.25    	1.6965e-07
0.5     	0.3     	1.6987e-07
0.5     	0.35    	1.7004e-07
0.5     	0.4     	1.7019e-07
0.5     	0.45    	1.7032e-07
0.5     	0.5     	1.7043e-07
0.5     	0.55    	1.7053e-07
0.5     	0.6     	1.7063e-07
0.5     	0.65    	1.7072e-07
0.5     	0.7     	1.708e-07
0.55    	0       	3.693e-10
0.55    	0.05    	3.6738e-07
0.55    	0.1     	5.0392e-07
0.55    	0.15    	5.3391e-07
0.55    	0.2     	5.398e-07
0.55    	0.25    	5.4139e-07
0.55    	0.3     	5.4216e-07
0.55    	0.35    	5.427e-07
0.55    	0.4     	5.4314e-07
0.55    	0.45    	5.4356e-07
0.55    	0.5     	5.4389e-07
0.55    	0.55    	5.4418e-07
0.55    	0.6     	5.4444e-07
0.55    	0.65    	5.4468e-07
0.55    	0.7     	5.449e-07
0.6     	0       	5.2411e-10
0.6     	0.05    	5.8717e-07
0.6     	0.1     	9.5055e-07
0.6     	0.15    	1.0844e-06
0.6     	0.2     	1.1182e-06
0.6     	0.25    	1.1254e-06
0.6     	0.3     	1.1277e-06
0.6     	0.35    	1.1291e-06
0.6     	0.4     	1.1299e-06
0.6     	0.45    	1.1306e-06
0.6     	0.5     	1.1312e-06
0.6     	0.55    	1.1318e-06
0.6     	0.6     	1.1323e-06
0.6     	0.65    	1.1327e-06
0.6     	0.7     	1.1331e-06
0.65    	0       	5.6407e-10
0.65    	0.05    	7.2594e-07
0.65    	0.1     	1.2996e-06
0.65    	0.15    	1.6421e-06
0.65    	0.2     	1.7707e-06
0.65    	0.25    	1.8083e-06
0.65    	0.3     	1.8176e-06
0.65    	0.35    	1.8205e-06
0.65    	0.4     	1.8221e-06
0.65    	0.45    	1.8233e-06
0.65    	0.5     	1.8242e-06
0.65    	0.55    	1.825e-06
0.65    	0.6     	1.8257e-06
0.65    	0.65    	1.8263e-06
0.65    	0.7     	1.8268e-06
0.7     	0       	6.5979e-10
0.7     	0.05    	8.1016e-07
0.7     	0.1     	1.4975e-06
0.7     	0.15    	2.0283e-06
0.7     	0.2     	2.3488e-06
0.7     	0.25    	2.478e-06
0.7     	0.3     	2.5184e-06
0.7     	0.35    	2.5296e-06
0.7     	0.4     	2.5332e-06
