vg      	vd      	ids     
0       	0       	1.14e-12
0       	0.05    	1.0774e-10
0       	0.1     	1.2436e-10
0       	0.15    	1.2768e-10
0       	0.2     	1.2902e-10
0       	0.25    	1.3e-10 
0       	0.3     	1.3089e-10
0       	0.35    	1.3173e-10
0       	0.4     	1.3253e-10
0       	0.45    	1.333e-10
0       	0.5     	1.3403e-10
0       	0.55    	1.3472e-10
0       	0.6     	1.3537e-10
0       	0.65    	1.3598e-10
0       	0.7     	1.3655e-10
0.05    	0       	7.6324e-12
0.05    	0.05    	7.179e-10
0.05    	0.1     	8.3052e-10
0.05    	0.15    	8.5362e-10
0.05    	0.2     	8.6298e-10
0.05    	0.25    	8.6985e-10
0.05    	0.3     	8.7594e-10
0.05    	0.35    	8.8158e-10
0.05    	0.4     	8.8688e-10
0.05    	0.45    	8.9188e-10
0.05    	0.5     	8.9656e-10
0.05    	0.55    	9.0094e-10
0.05    	0.6     	9.0499e-10
0.05    	0.65    	9.0872e-10
0.05    	0.7     	9.1217e-10
0.1     	0       	5.2224e-11
0.1     	0.05    	4.5592e-09
0.1     	0.1     	5.3102e-09
0.1     	0.15    	5.466e-09
0.1     	0.2     	5.529e-09
0.1     	0.25    	5.5742e-09
0.1     	0.3     	5.6132e-09
0.1     	0.35    	5.6481e-09
0.1     	0.4     	5.6798e-09
0.1     	0.45    	5.7089e-09
0.1     	0.5     	5.7356e-09
0.1     	0.55    	5.7601e-09
0.1     	0.6     	5.7826e-09
0.1     	0.65    	5.8032e-09
0.1     	0.7     	5.8223e-09
0.15    	0       	3.3164e-10
0.15    	0.05    	2.7828e-08
0.15    	0.1     	3.2586e-08
0.15    	0.15    	3.3598e-08
0.15    	0.2     	3.3987e-08
0.15    	0.25    	3.4252e-08
0.15    	0.3     	3.447e-08
0.15    	0.35    	3.4658e-08
0.15    	0.4     	3.4822e-08
0.15    	0.45    	3.497e-08
0.15    	0.5     	3.5106e-08
0.15    	0.55    	3.5231e-08
0.15    	0.6     	3.5348e-08
0.15    	0.65    	3.5457e-08
0.15    	0.7     	3.556e-08
0.2     	0       	1.7547e-09
0.2     	0.05    	1.5245e-07
