vg      	vd      	ids     
0       	0       	5.2373e-12
0       	0.05    	5.4919e-10
0       	0.1     	6.3506e-10
0       	0.15    	6.4985e-10
0       	0.2     	6.5363e-10
0       	0.25    	6.5563e-10
0       	0.3     	6.5725e-10
0       	0.35    	6.5869e-10
0       	0.4     	6.6002e-10
0       	0.45    	6.6124e-10
0       	0.5     	6.6238e-10
0       	0.55    	6.6344e-10
0       	0.6     	6.6445e-10
0       	0.65    	6.6541e-10
0       	0.7     	6.6632e-10
0.05    	0       	3.4399e-11
0.05    	0.05    	3.5031e-09
0.05    	0.1     	4.0589e-09
0.05    	0.15    	4.1568e-09
0.05    	0.2     	4.1825e-09
0.05    	0.25    	4.196e-09
0.05    	0.3     	4.2069e-09
0.05    	0.35    	4.2166e-09
0.05    	0.4     	4.2254e-09
0.05    	0.45    	4.2335e-09
0.05    	0.5     	4.241e-09
0.05    	0.55    	4.2479e-09
0.05    	0.6     	4.2544e-09
0.05    	0.65    	4.2605e-09
0.05    	0.7     	4.2663e-09
0.1     	0       	2.1876e-10
0.1     	0.05    	2.1917e-08
0.1     	0.1     	2.5474e-08
0.1     	0.15    	2.6112e-08
0.1     	0.2     	2.6283e-08
0.1     	0.25    	2.6372e-08
0.1     	0.3     	2.6443e-08
0.1     	0.35    	2.6506e-08
0.1     	0.4     	2.6563e-08
0.1     	0.45    	2.6614e-08
0.1     	0.5     	2.6662e-08
0.1     	0.55    	2.6705e-08
0.1     	0.6     	2.6746e-08
0.1     	0.65    	2.6784e-08
0.1     	0.7     	2.6819e-08
0.15    	0       	1.2132e-09
0.15    	0.05    	1.2663e-07
0.15    	0.1     	1.4894e-07
0.15    	0.15    	1.5302e-07
0.15    	0.2     	1.541e-07
0.15    	0.25    	1.5464e-07
0.15    	0.3     	1.5505e-07
0.15    	0.35    	1.5541e-07
0.15    	0.4     	1.5573e-07
0.15    	0.45    	1.5603e-07
0.15    	0.5     	1.5629e-07
0.15    	0.55    	1.5653e-07
0.15    	0.6     	1.5675e-07
0.15    	0.65    	1.5696e-07
0.15    	0.7     	1.5715e-07
0.2     	0       	4.5531e-09
0.2     	0.05    	5.4581e-07
0.2     	0.1     	6.6854e-07
0.2     	0.15    	6.9218e-07
0.2     	0.2     	6.9798e-07
0.2     	0.25    	7.0052e-07
0.2     	0.3     	7.0229e-07
0.2     	0.35    	7.0378e-07
0.2     	0.4     	7.0508e-07
0.2     	0.45    	7.0624e-07
0.2     	0.5     	7.0729e-07
0.2     	0.55    	7.0824e-07
0.2     	0.6     	7.0911e-07
0.2     	0.65    	7.099e-07
0.2     	0.7     	7.1063e-07
0.25    	0       	1.0166e-08
0.25    	0.05    	1.4459e-06
0.25    	0.1     	1.9059e-06
0.25    	0.15    	2.0068e-06
0.25    	0.2     	2.0302e-06
0.25    	0.25    	2.0386e-06
0.25    	0.3     	2.0437e-06
0.25    	0.35    	2.0477e-06
0.25    	0.4     	2.0511e-06
0.25    	0.45    	2.0541e-06
0.25    	0.5     	2.0567e-06
0.25    	0.55    	2.0591e-06
0.25    	0.6     	2.0612e-06
0.25    	0.65    	2.0632e-06
0.25    	0.7     	2.065e-06
0.3     	0       	1.6635e-08
0.3     	0.05    	2.6258e-06
0.3     	0.1     	3.7526e-06
0.3     	0.15    	4.0525e-06
0.3     	0.2     	4.1242e-06
0.3     	0.25    	4.1465e-06
0.3     	0.3     	4.1576e-06
0.3     	0.35    	4.1654e-06
0.3     	0.4     	4.1718e-06
0.3     	0.45    	4.1773e-06
0.3     	0.5     	4.1822e-06
0.3     	0.55    	4.1865e-06
0.3     	0.6     	4.191e-06
0.3     	0.65    	4.1945e-06
0.3     	0.7     	4.1977e-06
0.35    	0       	2.3142e-08
0.35    	0.05    	3.8707e-06
0.35    	0.1     	5.9408e-06
0.35    	0.15    	6.6181e-06
0.35    	0.2     	6.8001e-06
0.35    	0.25    	6.8503e-06
0.35    	0.3     	6.871e-06
0.35    	0.35    	6.8839e-06
0.35    	0.4     	6.8937e-06
0.35    	0.45    	6.902e-06
0.35    	0.5     	6.9092e-06
0.35    	0.55    	6.9156e-06
0.35    	0.6     	6.9213e-06
